frame,elbow_deg,msho_x,msho_y,msho_z,melb_x,melb_y,melb_z,mwri_x,mwri_y,mwri_z
0,9.37,-0.03268,1.21194,-0.07280,-0.08309,0.97255,0.01543,-0.15272,0.81122,0.13020
1,9.35,-0.03268,1.21194,-0.07280,-0.08309,0.97255,0.01544,-0.15273,0.81120,0.13017
2,9.34,-0.03268,1.21194,-0.07280,-0.08310,0.97255,0.01545,-0.15273,0.81118,0.13015
3,9.34,-0.03268,1.21194,-0.07280,-0.08310,0.97256,0.01546,-0.15273,0.81118,0.13015
4,9.34,-0.03268,1.21194,-0.07280,-0.08310,0.97256,0.01547,-0.15273,0.81120,0.13017
5,9.35,-0.03268,1.21194,-0.07280,-0.08310,0.97257,0.01547,-0.15273,0.81122,0.13021
6,9.37,-0.03268,1.21194,-0.07280,-0.08310,0.97257,0.01548,-0.15273,0.81126,0.13027
7,9.39,-0.03268,1.21194,-0.07280,-0.08310,0.97257,0.01548,-0.15273,0.81131,0.13034
8,9.41,-0.03268,1.21194,-0.07280,-0.08310,0.97257,0.01549,-0.15272,0.81137,0.13043
9,9.44,-0.03268,1.21194,-0.07280,-0.08310,0.97258,0.01550,-0.15272,0.81142,0.13052
10,9.46,-0.03268,1.21194,-0.07280,-0.08310,0.97258,0.01550,-0.15271,0.81148,0.13060
11,9.48,-0.03268,1.21194,-0.07280,-0.08310,0.97259,0.01551,-0.15271,0.81153,0.13068
12,9.50,-0.03268,1.21194,-0.07280,-0.08310,0.97259,0.01552,-0.15271,0.81157,0.13074
13,9.50,-0.03268,1.21194,-0.07280,-0.08310,0.97260,0.01554,-0.15271,0.81160,0.13078
14,9.50,-0.03268,1.21194,-0.07280,-0.08310,0.97261,0.01555,-0.15271,0.81160,0.13079
15,9.48,-0.03268,1.21194,-0.07280,-0.08310,0.97262,0.01557,-0.15272,0.81159,0.13078
16,9.45,-0.03268,1.21194,-0.07280,-0.08311,0.97263,0.01559,-0.15272,0.81156,0.13074
17,9.42,-0.03268,1.21194,-0.07280,-0.08311,0.97264,0.01561,-0.15274,0.81151,0.13066
18,9.37,-0.03268,1.21194,-0.07280,-0.08311,0.97265,0.01564,-0.15275,0.81144,0.13056
19,9.31,-0.03268,1.21194,-0.07280,-0.08311,0.97267,0.01567,-0.15277,0.81136,0.13044
20,9.24,-0.03268,1.21194,-0.07280,-0.08311,0.97269,0.01570,-0.15278,0.81127,0.13031
21,9.18,-0.03268,1.21194,-0.07280,-0.08312,0.97270,0.01574,-0.15280,0.81118,0.13017
22,9.11,-0.03268,1.21194,-0.07280,-0.08312,0.97272,0.01577,-0.15282,0.81108,0.13003
23,9.05,-0.03268,1.21194,-0.07280,-0.08312,0.97274,0.01581,-0.15284,0.81100,0.12991
24,8.99,-0.03268,1.21194,-0.07280,-0.08312,0.97276,0.01585,-0.15285,0.81093,0.12980
25,8.94,-0.03268,1.21194,-0.07280,-0.08313,0.97278,0.01588,-0.15287,0.81087,0.12971
26,8.90,-0.03268,1.21194,-0.07280,-0.08313,0.97280,0.01592,-0.15288,0.81083,0.12966
27,8.87,-0.03268,1.21194,-0.07280,-0.08313,0.97281,0.01595,-0.15289,0.81081,0.12963
28,8.85,-0.03268,1.21194,-0.07280,-0.08313,0.97283,0.01597,-0.15290,0.81080,0.12962
29,8.84,-0.03268,1.21194,-0.07280,-0.08314,0.97284,0.01600,-0.15290,0.81081,0.12963
30,8.84,-0.03268,1.21194,-0.07280,-0.08314,0.97285,0.01601,-0.15291,0.81082,0.12965
31,8.84,-0.03268,1.21194,-0.07280,-0.08314,0.97285,0.01602,-0.15291,0.81083,0.12967
32,8.84,-0.03268,1.21194,-0.07280,-0.08314,0.97285,0.01601,-0.15291,0.81083,0.12967
33,8.84,-0.03268,1.21194,-0.07280,-0.08314,0.97284,0.01600,-0.15290,0.81081,0.12963
34,8.83,-0.03268,1.21194,-0.07280,-0.08313,0.97283,0.01597,-0.15290,0.81075,0.12955
35,8.81,-0.03268,1.21194,-0.07280,-0.08313,0.97280,0.01593,-0.15290,0.81066,0.12940
36,8.76,-0.03268,1.21194,-0.07280,-0.08313,0.97277,0.01587,-0.15290,0.81051,0.12917
37,8.71,-0.03268,1.21194,-0.07280,-0.08312,0.97273,0.01579,-0.15291,0.81031,0.12885
38,8.63,-0.03268,1.21194,-0.07280,-0.08311,0.97268,0.01570,-0.15291,0.81005,0.12844
39,8.53,-0.03268,1.21194,-0.07280,-0.08311,0.97263,0.01559,-0.15292,0.80974,0.12795
40,8.42,-0.03268,1.21194,-0.07280,-0.08310,0.97256,0.01547,-0.15292,0.80938,0.12738
41,8.29,-0.03268,1.21194,-0.07280,-0.08309,0.97249,0.01533,-0.15293,0.80899,0.12675
42,8.17,-0.03268,1.21194,-0.07280,-0.08308,0.97241,0.01518,-0.15294,0.80859,0.12611
43,8.05,-0.03268,1.21194,-0.07280,-0.08306,0.97233,0.01503,-0.15294,0.80820,0.12547
44,7.96,-0.03268,1.21194,-0.07280,-0.08305,0.97225,0.01487,-0.15294,0.80785,0.12490
45,7.91,-0.03268,1.21194,-0.07280,-0.08304,0.97217,0.01472,-0.15293,0.80758,0.12445
46,7.91,-0.03268,1.21194,-0.07280,-0.08303,0.97210,0.01457,-0.15291,0.80742,0.12419
47,7.99,-0.03268,1.21194,-0.07280,-0.08302,0.97203,0.01443,-0.15288,0.80742,0.12418
48,8.17,-0.03268,1.21194,-0.07280,-0.08301,0.97196,0.01431,-0.15283,0.80763,0.12451
49,8.48,-0.03268,1.21194,-0.07280,-0.08300,0.97191,0.01421,-0.15275,0.80810,0.12525
50,8.93,-0.03268,1.21194,-0.07280,-0.08300,0.97187,0.01413,-0.15265,0.80889,0.12647
51,9.55,-0.03268,1.21194,-0.07280,-0.08299,0.97184,0.01407,-0.15252,0.81004,0.12824
52,10.36,-0.03268,1.21194,-0.07280,-0.08299,0.97182,0.01404,-0.15234,0.81162,0.13062
53,11.38,-0.03268,1.21194,-0.07280,-0.08299,0.97182,0.01404,-0.15211,0.81370,0.13364
54,12.62,-0.03268,1.21194,-0.07280,-0.08299,0.97184,0.01407,-0.15183,0.81635,0.13733
55,14.11,-0.03268,1.21194,-0.07280,-0.08299,0.97187,0.01412,-0.15147,0.81964,0.14169
56,15.84,-0.03268,1.21194,-0.07280,-0.08300,0.97191,0.01420,-0.15103,0.82362,0.14669
57,17.82,-0.03268,1.21194,-0.07280,-0.08301,0.97196,0.01430,-0.15050,0.82838,0.15228
58,20.05,-0.03268,1.21194,-0.07280,-0.08302,0.97202,0.01442,-0.14987,0.83395,0.15836
59,22.51,-0.03268,1.21194,-0.07280,-0.08303,0.97208,0.01455,-0.14912,0.84038,0.16484
60,25.20,-0.03268,1.21194,-0.07280,-0.08304,0.97216,0.01469,-0.14824,0.84769,0.17157
61,28.08,-0.03268,1.21194,-0.07280,-0.08305,0.97223,0.01483,-0.14724,0.85587,0.17839
62,31.13,-0.03268,1.21194,-0.07280,-0.08306,0.97231,0.01498,-0.14611,0.86487,0.18513
63,34.33,-0.03268,1.21194,-0.07280,-0.08307,0.97238,0.01512,-0.14485,0.87462,0.19164
64,37.62,-0.03268,1.21194,-0.07280,-0.08308,0.97245,0.01525,-0.14349,0.88502,0.19775
65,40.98,-0.03268,1.21194,-0.07280,-0.08309,0.97251,0.01537,-0.14202,0.89593,0.20332
