subj,time,rep,q_sh,q_el,qd_sh,qd_el,qdd_sh,qdd_el,elbow_moment,act_BIClong,act_BICshort,act_BRA,act_BRD_hand,frc_BIClong,frc_BICshort,frc_BRA,frc_BRD_hand,MF_BIClong,MF_BICshort,MF_BRA,MF_BRD_hand,humerus_mass,forearm_mass,humerus_len,forearm_len
s08,0.00000,1,35.43657,9.37153,0.12950,-0.97560,-0.21000,7.71000,5.62323,0.22629,0.08788,0.27595,0.09757,131.87403,36.18795,270.53224,22.04225,0.00361,0.00255,0.00026,0.00189,1.15791,1.31215,0.24804,0.28275
s08,0.01000,1,35.43786,9.36177,0.12740,-0.89850,-0.32250,11.82250,5.63809,0.22685,0.08810,0.27673,0.09781,132.19021,36.27589,271.27591,22.09531,0.00724,0.00512,0.00051,0.00379,1.15791,1.31215,0.24804,0.28275
s08,0.02000,1,35.43911,9.35356,0.12305,-0.73915,-0.45000,16.40500,5.65198,0.22739,0.08833,0.27748,0.09804,132.48522,36.36295,271.96877,22.14551,0.01087,0.00768,0.00077,0.00569,1.15791,1.31215,0.24804,0.28275
s08,0.03000,1,35.44032,9.34699,0.11840,-0.57040,-0.46750,17.23000,5.66411,0.22788,0.08854,0.27817,0.09826,132.74191,36.44403,272.57040,22.18993,0.01452,0.01026,0.00102,0.00759,1.15791,1.31215,0.24804,0.28275
s08,0.04000,1,35.44148,9.34215,0.11370,-0.39455,-0.46750,17.82000,5.67391,0.22830,0.08874,0.27876,0.09845,132.94834,36.51531,273.05185,22.22651,0.01817,0.01284,0.00128,0.00951,1.15791,1.31215,0.24804,0.28275
s08,0.05000,1,35.44260,9.33910,0.10905,-0.21400,-0.46250,18.15500,5.68108,0.22863,0.08891,0.27922,0.09861,133.09859,36.57415,273.39755,22.25408,0.02183,0.01543,0.00153,0.01142,1.15791,1.31215,0.24804,0.28275
s08,0.06000,1,35.44366,9.33787,0.10445,-0.03145,-0.44750,18.21250,5.68556,0.22888,0.08905,0.27956,0.09873,133.19705,36.61899,273.59987,22.27211,0.02550,0.01802,0.00179,0.01334,1.15791,1.31215,0.24804,0.28275
s08,0.07000,1,35.44468,9.33847,0.10010,0.15025,-0.41750,17.98250,5.68750,0.22903,0.08913,0.27973,0.09879,133.25993,36.63909,273.66793,22.28044,0.02916,0.02061,0.00204,0.01525,1.15791,1.31215,0.24804,0.28275
s08,0.08000,1,35.44566,9.34088,0.09610,0.32820,-0.37750,17.45250,5.68716,0.22907,0.08917,0.27976,0.09882,133.25822,36.64422,273.63854,22.28185,0.03283,0.02320,0.00230,0.01717,1.15791,1.31215,0.24804,0.28275
s08,0.09000,1,35.44661,9.34503,0.09255,0.49930,-0.32500,16.61000,5.68489,0.22903,0.08918,0.27968,0.09881,133.21488,36.64366,273.49917,22.27620,0.03650,0.02579,0.00256,0.01909,1.15791,1.31215,0.24804,0.28275
s08,0.10000,1,35.44752,9.35086,0.08960,0.66040,-0.26250,15.45750,5.68103,0.22894,0.08917,0.27951,0.09878,133.13867,36.63385,273.27055,22.26504,0.04016,0.02837,0.00281,0.02100,1.15791,1.31215,0.24804,0.28275
s08,0.11000,1,35.44840,9.35824,0.08730,0.80845,-0.18750,14.00250,5.67591,0.22880,0.08914,0.27925,0.09872,133.03651,36.61642,272.96886,22.24948,0.04382,0.03096,0.00307,0.02292,1.15791,1.31215,0.24804,0.28275
s08,0.12000,1,35.44926,9.36703,0.08585,0.94045,-0.10000,12.25000,5.66980,0.22862,0.08910,0.27893,0.09865,132.91435,36.59262,272.60878,22.23044,0.04747,0.03354,0.00333,0.02483,1.15791,1.31215,0.24804,0.28275
s08,0.13000,1,35.45012,9.37705,0.08530,1.05345,-0.00250,10.21250,5.66294,0.22840,0.08903,0.27855,0.09856,132.77673,36.56379,272.20240,22.20875,0.05112,0.03612,0.00359,0.02673,1.15791,1.31215,0.24804,0.28275
s08,0.14000,1,35.45097,9.38810,0.08580,1.14470,0.10750,7.91500,5.65551,0.22816,0.08896,0.27813,0.09847,132.62725,36.53056,271.76011,22.18494,0.05476,0.03869,0.00385,0.02864,1.15791,1.31215,0.24804,0.28275
s08,0.15000,1,35.45183,9.39995,0.08745,1.21175,0.22500,5.38750,5.64762,0.22790,0.08887,0.27767,0.09836,132.46843,36.49346,271.29036,22.15940,0.05839,0.04126,0.00411,0.03054,1.15791,1.31215,0.24804,0.28275
s08,0.16000,1,35.45272,9.41234,0.09030,1.25245,0.35250,2.66000,5.63939,0.22762,0.08878,0.27718,0.09824,132.30213,36.45284,270.80029,22.13243,0.06202,0.04382,0.00437,0.03244,1.15791,1.31215,0.24804,0.28275
s08,0.17000,1,35.45364,9.42499,0.09450,1.26495,0.48500,-0.22500,5.63089,0.22732,0.08867,0.27666,0.09811,132.12981,36.40894,270.29636,22.10426,0.06564,0.04638,0.00464,0.03433,1.15791,1.31215,0.24804,0.28275
s08,0.18000,1,35.45461,9.43763,0.10000,1.24795,0.62500,-3.22750,5.62219,0.22701,0.08855,0.27613,0.09798,131.95281,36.36201,269.78485,22.07507,0.06925,0.04893,0.00490,0.03622,1.15791,1.31215,0.24804,0.28275
s08,0.19000,1,35.45564,9.44995,0.10700,1.20040,0.77250,-6.30000,5.61339,0.22668,0.08842,0.27559,0.09784,131.77260,36.31234,269.27230,22.04512,0.07286,0.05147,0.00517,0.03810,1.15791,1.31215,0.24804,0.28275
s08,0.20000,1,35.45675,9.46164,0.11545,1.12195,0.91750,-9.39000,5.60458,0.22635,0.08829,0.27504,0.09769,131.59091,36.26030,268.76580,22.01467,0.07646,0.05402,0.00543,0.03998,1.15791,1.31215,0.24804,0.28275
s08,0.21000,1,35.45795,9.47239,0.12535,1.01260,1.06500,-12.44250,5.59585,0.22601,0.08814,0.27449,0.09754,131.40984,36.20641,268.27311,21.98407,0.08004,0.05655,0.00570,0.04186,1.15791,1.31215,0.24804,0.28275
s08,0.22000,1,35.45925,9.48189,0.13675,0.87310,1.21250,-15.40000,5.58735,0.22567,0.08800,0.27396,0.09739,131.23183,36.15129,267.80269,21.95372,0.08363,0.05908,0.00597,0.04373,1.15791,1.31215,0.24804,0.28275
