frame,elbow_deg,msho_x,msho_y,msho_z,melb_x,melb_y,melb_z,mwri_x,mwri_y,mwri_z
0,18.27,-0.07639,1.44672,-0.16468,-0.11585,1.11780,-0.07248,-0.15411,0.91716,0.08728
1,18.31,-0.07639,1.44672,-0.16468,-0.11583,1.11784,-0.07236,-0.15403,0.91736,0.08761
2,18.34,-0.07639,1.44672,-0.16468,-0.11581,1.11788,-0.07223,-0.15396,0.91756,0.08794
3,18.37,-0.07639,1.44672,-0.16468,-0.11579,1.11793,-0.07210,-0.15388,0.91775,0.08827
4,18.39,-0.07639,1.44672,-0.16468,-0.11576,1.11798,-0.07197,-0.15381,0.91793,0.08859
5,18.41,-0.07639,1.44672,-0.16468,-0.11574,1.11802,-0.07184,-0.15375,0.91810,0.08888
6,18.43,-0.07639,1.44672,-0.16468,-0.11572,1.11807,-0.07171,-0.15369,0.91825,0.08915
7,18.44,-0.07639,1.44672,-0.16468,-0.11570,1.11811,-0.07159,-0.15364,0.91838,0.08938
8,18.44,-0.07639,1.44672,-0.16468,-0.11568,1.11815,-0.07148,-0.15361,0.91848,0.08958
9,18.44,-0.07639,1.44672,-0.16468,-0.11567,1.11818,-0.07139,-0.15358,0.91856,0.08974
10,18.43,-0.07639,1.44672,-0.16468,-0.11565,1.11821,-0.07130,-0.15356,0.91862,0.08985
11,18.42,-0.07639,1.44672,-0.16468,-0.11564,1.11824,-0.07123,-0.15356,0.91865,0.08993
12,18.40,-0.07639,1.44672,-0.16468,-0.11563,1.11826,-0.07117,-0.15356,0.91866,0.08997
13,18.38,-0.07639,1.44672,-0.16468,-0.11562,1.11827,-0.07113,-0.15357,0.91866,0.08998
14,18.36,-0.07639,1.44672,-0.16468,-0.11562,1.11828,-0.07110,-0.15358,0.91864,0.08997
15,18.35,-0.07639,1.44672,-0.16468,-0.11561,1.11829,-0.07108,-0.15359,0.91861,0.08995
16,18.33,-0.07639,1.44672,-0.16468,-0.11561,1.11830,-0.07107,-0.15361,0.91859,0.08991
17,18.32,-0.07639,1.44672,-0.16468,-0.11561,1.11830,-0.07106,-0.15362,0.91856,0.08988
18,18.32,-0.07639,1.44672,-0.16468,-0.11561,1.11830,-0.07106,-0.15362,0.91855,0.08987
19,18.32,-0.07639,1.44672,-0.16468,-0.11561,1.11830,-0.07107,-0.15362,0.91855,0.08987
20,18.33,-0.07639,1.44672,-0.16468,-0.11561,1.11829,-0.07107,-0.15361,0.91857,0.08990
21,18.34,-0.07639,1.44672,-0.16468,-0.11561,1.11829,-0.07107,-0.15359,0.91862,0.08996
