subj,time,rep,q_sh,q_el,qd_sh,qd_el,qdd_sh,qdd_el,elbow_moment,act_BIClong,act_BICshort,act_BRA,act_BRD_hand,frc_BIClong,frc_BICshort,frc_BRA,frc_BRD_hand,MF_BIClong,MF_BICshort,MF_BRA,MF_BRD_hand,humerus_mass,forearm_mass,humerus_len,forearm_len
s03,0.00000,1,27.05201,18.26967,1.22420,1.79000,1.73500,-2.02000,6.75648,0.23469,0.09692,0.20954,0.09916,137.27069,41.06934,205.74184,22.84646,0.00268,0.00194,0.00083,0.00143,1.91527,1.72559,0.29334,0.30978
s03,0.01000,1,27.06426,18.28757,1.24155,1.76980,2.46250,-3.37250,6.75374,0.23460,0.09685,0.20932,0.09912,137.22864,41.04023,205.53264,22.83826,0.00535,0.00388,0.00167,0.00285,1.91527,1.72559,0.29334,0.30978
s03,0.02000,1,27.07684,18.30507,1.27345,1.72255,2.90750,-5.41500,6.75062,0.23449,0.09677,0.20909,0.09907,137.17907,41.00835,205.31305,22.82885,0.00803,0.00581,0.00250,0.00427,1.91527,1.72559,0.29334,0.30978
s03,0.03000,1,27.08973,18.32203,1.29970,1.66150,2.33000,-6.78500,6.74680,0.23436,0.09668,0.20883,0.09901,137.11588,40.97209,205.07567,22.81724,0.01070,0.00775,0.00333,0.00570,1.91527,1.72559,0.29334,0.30978
s03,0.04000,1,27.10284,18.33830,1.32005,1.58685,1.72500,-8.12000,6.74208,0.23419,0.09657,0.20855,0.09893,137.03558,40.93044,204.81657,22.80282,0.01336,0.00968,0.00416,0.00712,1.91527,1.72559,0.29334,0.30978
s03,0.05000,1,27.11613,18.35376,1.33420,1.49910,1.09250,-9.39750,6.73643,0.23398,0.09645,0.20824,0.09884,136.93755,40.88310,204.53573,22.78544,0.01602,0.01161,0.00500,0.00853,1.91527,1.72559,0.29334,0.30978
s03,0.06000,1,27.12952,18.36828,1.34190,1.39890,0.44000,-10.60250,6.72994,0.23374,0.09631,0.20791,0.09874,136.82381,40.83048,204.23678,22.76534,0.01868,0.01353,0.00583,0.00995,1.91527,1.72559,0.29334,0.30978
s03,0.07000,1,27.14296,18.38174,1.34300,1.28705,-0.22750,-11.71750,6.72279,0.23348,0.09617,0.20756,0.09863,136.69682,40.77461,203.92484,22.74389,0.02133,0.01545,0.00666,0.01136,1.91527,1.72559,0.29334,0.30978
s03,0.08000,1,27.15638,18.39402,1.33735,1.16455,-0.90750,-12.72000,6.71526,0.23320,0.09601,0.20721,0.09850,136.56492,40.71536,203.61032,22.72025,0.02398,0.01737,0.00749,0.01277,1.91527,1.72559,0.29334,0.30978
s03,0.09000,1,27.16971,18.40503,1.32485,1.03265,-1.58250,-13.59000,6.70764,0.23292,0.09586,0.20685,0.09837,136.42950,40.66384,203.29451,22.69541,0.02662,0.01928,0.00832,0.01418,1.91527,1.72559,0.29334,0.30978
s03,0.10000,1,27.18288,18.41468,1.30570,0.89275,-2.24750,-14.31500,6.70024,0.23264,0.09571,0.20651,0.09825,136.29985,40.61268,202.99374,22.67112,0.02926,0.02119,0.00914,0.01558,1.91527,1.72559,0.29334,0.30978
