frame,elbow_deg,msho_x,msho_y,msho_z,melb_x,melb_y,melb_z,mwri_x,mwri_y,mwri_z
56,7.29,-0.00086,1.50755,-0.07148,-0.07218,1.17703,-0.02518,-0.15328,0.95551,0.04692
57,7.28,-0.00086,1.50755,-0.07148,-0.07218,1.17704,-0.02515,-0.15329,0.95550,0.04692
58,7.26,-0.00086,1.50755,-0.07148,-0.07219,1.17705,-0.02510,-0.15330,0.95550,0.04692
59,7.23,-0.00086,1.50755,-0.07148,-0.07219,1.17707,-0.02502,-0.15331,0.95551,0.04693
60,7.19,-0.00086,1.50755,-0.07148,-0.07220,1.17709,-0.02492,-0.15333,0.95552,0.04697
61,7.16,-0.00086,1.50755,-0.07148,-0.07221,1.17712,-0.02480,-0.15336,0.95553,0.04705
62,7.12,-0.00086,1.50755,-0.07148,-0.07222,1.17715,-0.02464,-0.15338,0.95557,0.04718
63,7.09,-0.00086,1.50755,-0.07148,-0.07223,1.17719,-0.02445,-0.15341,0.95562,0.04737
64,7.06,-0.00086,1.50755,-0.07148,-0.07225,1.17724,-0.02424,-0.15344,0.95569,0.04764
65,7.04,-0.00086,1.50755,-0.07148,-0.07226,1.17729,-0.02400,-0.15347,0.95579,0.04800
66,7.04,-0.00086,1.50755,-0.07148,-0.07228,1.17735,-0.02374,-0.15350,0.95592,0.04846
67,7.06,-0.00086,1.50755,-0.07148,-0.07230,1.17741,-0.02346,-0.15353,0.95608,0.04903
68,7.09,-0.00086,1.50755,-0.07148,-0.07232,1.17748,-0.02316,-0.15355,0.95627,0.04972
69,7.15,-0.00086,1.50755,-0.07148,-0.07234,1.17755,-0.02285,-0.15357,0.95650,0.05052
70,7.24,-0.00086,1.50755,-0.07148,-0.07236,1.17763,-0.02252,-0.15359,0.95677,0.05145
71,7.35,-0.00086,1.50755,-0.07148,-0.07239,1.17770,-0.02219,-0.15360,0.95708,0.05250
72,7.49,-0.00086,1.50755,-0.07148,-0.07241,1.17778,-0.02185,-0.15360,0.95742,0.05367
73,7.65,-0.00086,1.50755,-0.07148,-0.07243,1.17786,-0.02151,-0.15360,0.95780,0.05494
74,7.83,-0.00086,1.50755,-0.07148,-0.07246,1.17794,-0.02116,-0.15360,0.95821,0.05630
75,8.03,-0.00086,1.50755,-0.07148,-0.07248,1.17803,-0.02080,-0.15359,0.95866,0.05775
76,8.25,-0.00086,1.50755,-0.07148,-0.07250,1.17811,-0.02044,-0.15357,0.95913,0.05925
77,8.47,-0.00086,1.50755,-0.07148,-0.07253,1.17820,-0.02008,-0.15355,0.95962,0.06079
78,8.69,-0.00086,1.50755,-0.07148,-0.07255,1.17828,-0.01971,-0.15354,0.96011,0.06234
79,8.91,-0.00086,1.50755,-0.07148,-0.07258,1.17837,-0.01934,-0.15352,0.96062,0.06388
80,9.11,-0.00086,1.50755,-0.07148,-0.07260,1.17846,-0.01897,-0.15350,0.96111,0.06538
81,9.31,-0.00086,1.50755,-0.07148,-0.07263,1.17855,-0.01859,-0.15349,0.96159,0.06682
82,9.48,-0.00086,1.50755,-0.07148,-0.07265,1.17865,-0.01822,-0.15348,0.96204,0.06816
83,9.62,-0.00086,1.50755,-0.07148,-0.07267,1.17873,-0.01785,-0.15348,0.96246,0.06939
84,9.74,-0.00086,1.50755,-0.07148,-0.07270,1.17882,-0.01750,-0.15349,0.96283,0.07049
85,9.82,-0.00086,1.50755,-0.07148,-0.07272,1.17891,-0.01716,-0.15350,0.96316,0.07144
86,9.88,-0.00086,1.50755,-0.07148,-0.07274,1.17899,-0.01684,-0.15351,0.96342,0.07222
87,9.90,-0.00086,1.50755,-0.07148,-0.07276,1.17906,-0.01654,-0.15354,0.96363,0.07284
88,9.90,-0.00086,1.50755,-0.07148,-0.07278,1.17913,-0.01628,-0.15357,0.96378,0.07329
89,9.86,-0.00086,1.50755,-0.07148,-0.07279,1.17919,-0.01604,-0.15360,0.96387,0.07358
90,9.81,-0.00086,1.50755,-0.07148,-0.07281,1.17923,-0.01585,-0.15363,0.96390,0.07371
91,9.74,-0.00086,1.50755,-0.07148,-0.07282,1.17927,-0.01570,-0.15367,0.96389,0.07370
92,9.66,-0.00086,1.50755,-0.07148,-0.07282,1.17930,-0.01560,-0.15370,0.96383,0.07356
93,9.58,-0.00086,1.50755,-0.07148,-0.07283,1.17931,-0.01554,-0.15373,0.96374,0.07333
