frame,elbow_deg,msho_x,msho_y,msho_z,melb_x,melb_y,melb_z,mwri_x,mwri_y,mwri_z
0,17.38,-0.07131,1.33557,-0.10460,-0.11840,1.03360,-0.04910,-0.17352,0.85042,0.06300
1,17.38,-0.07131,1.33557,-0.10460,-0.11841,1.03364,-0.04895,-0.17353,0.85054,0.06327
2,17.39,-0.07131,1.33557,-0.10460,-0.11841,1.03368,-0.04880,-0.17353,0.85066,0.06355
3,17.39,-0.07131,1.33557,-0.10460,-0.11842,1.03372,-0.04864,-0.17354,0.85077,0.06382
4,17.39,-0.07131,1.33557,-0.10460,-0.11842,1.03376,-0.04849,-0.17354,0.85088,0.06409
5,17.39,-0.07131,1.33557,-0.10460,-0.11843,1.03380,-0.04834,-0.17355,0.85098,0.06433
6,17.38,-0.07131,1.33557,-0.10460,-0.11843,1.03384,-0.04820,-0.17356,0.85107,0.06455
7,17.37,-0.07131,1.33557,-0.10460,-0.11844,1.03388,-0.04807,-0.17357,0.85114,0.06474
8,17.36,-0.07131,1.33557,-0.10460,-0.11844,1.03391,-0.04795,-0.17358,0.85120,0.06489
9,17.33,-0.07131,1.33557,-0.10460,-0.11845,1.03394,-0.04784,-0.17360,0.85124,0.06501
10,17.30,-0.07131,1.33557,-0.10460,-0.11845,1.03397,-0.04775,-0.17361,0.85125,0.06507
11,17.27,-0.07131,1.33557,-0.10460,-0.11845,1.03399,-0.04767,-0.17363,0.85124,0.06509
12,17.23,-0.07131,1.33557,-0.10460,-0.11845,1.03400,-0.04761,-0.17365,0.85121,0.06506
13,17.18,-0.07131,1.33557,-0.10460,-0.11846,1.03402,-0.04756,-0.17367,0.85115,0.06497
14,17.13,-0.07131,1.33557,-0.10460,-0.11846,1.03402,-0.04754,-0.17369,0.85106,0.06483
15,17.07,-0.07131,1.33557,-0.10460,-0.11846,1.03402,-0.04754,-0.17371,0.85096,0.06465
16,17.01,-0.07131,1.33557,-0.10460,-0.11846,1.03402,-0.04755,-0.17373,0.85083,0.06441
17,16.94,-0.07131,1.33557,-0.10460,-0.11845,1.03401,-0.04759,-0.17375,0.85069,0.06414
18,16.88,-0.07131,1.33557,-0.10460,-0.11845,1.03399,-0.04765,-0.17377,0.85054,0.06384
19,16.82,-0.07131,1.33557,-0.10460,-0.11845,1.03397,-0.04773,-0.17379,0.85037,0.06351
20,16.77,-0.07131,1.33557,-0.10460,-0.11845,1.03395,-0.04782,-0.17381,0.85021,0.06317
21,16.72,-0.07131,1.33557,-0.10460,-0.11844,1.03392,-0.04793,-0.17382,0.85004,0.06282
22,16.68,-0.07131,1.33557,-0.10460,-0.11844,1.03388,-0.04805,-0.17383,0.84989,0.06249
23,16.66,-0.07131,1.33557,-0.10460,-0.11843,1.03385,-0.04818,-0.17383,0.84975,0.06218
24,16.64,-0.07131,1.33557,-0.10460,-0.11843,1.03381,-0.04831,-0.17383,0.84963,0.06191
25,16.65,-0.07131,1.33557,-0.10460,-0.11842,1.03378,-0.04845,-0.17382,0.84954,0.06168
26,16.66,-0.07131,1.33557,-0.10460,-0.11842,1.03374,-0.04859,-0.17381,0.84948,0.06150
27,16.70,-0.07131,1.33557,-0.10460,-0.11841,1.03370,-0.04872,-0.17379,0.84944,0.06138
28,16.74,-0.07131,1.33557,-0.10460,-0.11841,1.03367,-0.04885,-0.17377,0.84944,0.06132
29,16.80,-0.07131,1.33557,-0.10460,-0.11841,1.03364,-0.04897,-0.17374,0.84946,0.06131
30,16.87,-0.07131,1.33557,-0.10460,-0.11840,1.03361,-0.04908,-0.17371,0.84951,0.06135
31,16.95,-0.07131,1.33557,-0.10460,-0.11840,1.03358,-0.04918,-0.17367,0.84959,0.06144
32,17.04,-0.07131,1.33557,-0.10460,-0.11839,1.03355,-0.04928,-0.17364,0.84968,0.06157
33,17.13,-0.07131,1.33557,-0.10460,-0.11839,1.03353,-0.04936,-0.17360,0.84978,0.06171
34,17.21,-0.07131,1.33557,-0.10460,-0.11839,1.03351,-0.04944,-0.17357,0.84989,0.06187
35,17.30,-0.07131,1.33557,-0.10460,-0.11839,1.03350,-0.04950,-0.17353,0.84999,0.06204
36,17.37,-0.07131,1.33557,-0.10460,-0.11838,1.03348,-0.04956,-0.17350,0.85009,0.06219
37,17.44,-0.07131,1.33557,-0.10460,-0.11838,1.03347,-0.04961,-0.17348,0.85018,0.06232
38,17.49,-0.07131,1.33557,-0.10460,-0.11838,1.03346,-0.04965,-0.17345,0.85025,0.06243
39,17.54,-0.07131,1.33557,-0.10460,-0.11838,1.03345,-0.04969,-0.17343,0.85031,0.06252
40,17.57,-0.07131,1.33557,-0.10460,-0.11838,1.03344,-0.04972,-0.17342,0.85035,0.06258
41,17.59,-0.07131,1.33557,-0.10460,-0.11838,1.03343,-0.04974,-0.17341,0.85037,0.06261
42,17.60,-0.07131,1.33557,-0.10460,-0.11838,1.03343,-0.04976,-0.17341,0.85038,0.06262
43,17.61,-0.07131,1.33557,-0.10460,-0.11838,1.03343,-0.04977,-0.17341,0.85038,0.06262
44,17.61,-0.07131,1.33557,-0.10460,-0.11838,1.03342,-0.04977,-0.17341,0.85038,0.06260
45,17.60,-0.07131,1.33557,-0.10460,-0.11838,1.03342,-0.04977,-0.17341,0.85037,0.06259
46,17.60,-0.07131,1.33557,-0.10460,-0.11838,1.03342,-0.04977,-0.17341,0.85036,0.06258
47,17.59,-0.07131,1.33557,-0.10460,-0.11838,1.03343,-0.04976,-0.17341,0.85036,0.06258
48,17.59,-0.07131,1.33557,-0.10460,-0.11838,1.03343,-0.04975,-0.17341,0.85036,0.06259
49,17.60,-0.07131,1.33557,-0.10460,-0.11838,1.03343,-0.04975,-0.17341,0.85038,0.06262
50,17.61,-0.07131,1.33557,-0.10460,-0.11838,1.03343,-0.04973,-0.17341,0.85041,0.06268
51,17.63,-0.07131,1.33557,-0.10460,-0.11838,1.03344,-0.04972,-0.17340,0.85045,0.06277
52,17.66,-0.07131,1.33557,-0.10460,-0.11838,1.03344,-0.04971,-0.17339,0.85052,0.06288
53,17.69,-0.07131,1.33557,-0.10460,-0.11838,1.03344,-0.04969,-0.17338,0.85060,0.06304
54,17.74,-0.07131,1.33557,-0.10460,-0.11838,1.03345,-0.04967,-0.17336,0.85070,0.06323
55,17.80,-0.07131,1.33557,-0.10460,-0.11838,1.03346,-0.04965,-0.17334,0.85083,0.06346
56,17.87,-0.07131,1.33557,-0.10460,-0.11838,1.03347,-0.04962,-0.17332,0.85098,0.06375
57,17.95,-0.07131,1.33557,-0.10460,-0.11838,1.03348,-0.04957,-0.17329,0.85116,0.06408
58,18.04,-0.07131,1.33557,-0.10460,-0.11839,1.03349,-0.04952,-0.17326,0.85136,0.06446
59,18.13,-0.07131,1.33557,-0.10460,-0.11839,1.03351,-0.04946,-0.17322,0.85159,0.06489
60,18.24,-0.07131,1.33557,-0.10460,-0.11839,1.03353,-0.04938,-0.17319,0.85185,0.06537
61,18.36,-0.07131,1.33557,-0.10460,-0.11839,1.03355,-0.04930,-0.17315,0.85212,0.06589
62,18.48,-0.07131,1.33557,-0.10460,-0.11840,1.03357,-0.04921,-0.17311,0.85242,0.06644
63,18.60,-0.07131,1.33557,-0.10460,-0.11840,1.03360,-0.04912,-0.17306,0.85272,0.06700
64,18.72,-0.07131,1.33557,-0.10460,-0.11840,1.03362,-0.04902,-0.17302,0.85302,0.06755
65,18.84,-0.07131,1.33557,-0.10460,-0.11841,1.03365,-0.04893,-0.17298,0.85331,0.06809
