target,unit,R2,RMSE,MAE,Pearson,NRMSE_pct
elbow_moment,N.m,0.7817,1.4137,0.9703,0.885,6.0422
act_BIClong,,0.8511,0.0358,0.0279,0.9234,8.0885
act_BICshort,,0.9204,0.0146,0.0107,0.9596,6.1878
act_BRA,,0.8709,0.0382,0.0262,0.9343,7.9241
act_BRD_hand,,0.8477,0.0162,0.0126,0.9211,8.1477
frc_BIClong,N,0.8725,20.7604,15.8399,0.9342,8.1043
frc_BICshort,N,0.9177,5.5035,3.9653,0.9582,5.6542
frc_BRA,N,0.8891,34.3878,23.5741,0.9438,7.3312
frc_BRD_hand,N,0.8451,3.3914,2.647,0.9201,6.0163
MF_BIClong,%,0.9062,0.2624,0.2173,0.9535,7.3995
MF_BICshort,%,0.843,0.2228,0.1827,0.9192,9.2915
MF_BRA,%,0.7137,0.2055,0.1292,0.8612,11.79
MF_BRD_hand,%,0.9151,0.1337,0.1088,0.958,7.044
