time,r_shoulder_elev,r_elbow_flex,rep,phase,fatigue_level,target_elbow_deg,flexion_duration_s,extension_duration_s,perturbation_deg,elbow_velocity_deg_s,elbow_acceleration_deg_s2,elbow_jerk_deg_s3
0.0,20.0,20.0,1,flexion,0.0,120.0,2.0,2.0,0.0,0.01240643750008985,3.6846562499981417,363.365624999723
0.01,20.0,20.000124064375,1,flexion,0.0,120.0,2.0,2.0,0.0,0.04925300000007127,7.318312499995372,539.7421874997476
0.02,20.0,20.00098506,1,flexion,0.0,120.0,2.0,2.0,0.0,0.1587726874999973,14.479499999993095,705.3281250000153
0.03,20.0,20.003299518125,1,flexion,0.0,120.0,2.0,2.0,0.0,0.33884299999993317,21.42487499999568,683.6250000006316
0.04,20.0,20.00776192,1,flexion,0.0,120.0,2.0,2.0,0.0,0.5872701874999109,28.152000000005728,661.9125000004722
0.05,20.0,20.015044921875,1,flexion,0.0,120.0,2.0,2.0,0.0,0.9018830000000477,34.663125000005124,640.4249999993893
0.06,20.0,20.02579958,1,flexion,0.0,120.0,2.0,2.0,0.0,1.2805326875000134,40.960499999993516,619.1624999996037
0.07,20.0,20.040655575625,1,flexion,0.0,120.0,2.0,2.0,0.0,1.721092999999918,47.0463749999972,598.125000000671
0.08,20.0,20.06022144,1,flexion,0.0,120.0,2.0,2.0,0.0,2.2214601874999573,52.92300000000694,577.312500000371
0.09,20.0,20.085084779375,1,flexion,0.0,120.0,2.0,2.0,0.0,2.779553000000057,58.59262500000462,556.7249999995915
0.1,20.0,20.1158125,1,flexion,0.0,120.0,2.0,2.0,0.0,3.3933126875000497,64.05749999999877,536.3624999996653
0.11,20.0,20.152951033125,1,flexion,0.0,120.0,2.0,2.0,0.0,4.060703000000032,69.31987499999792,516.2249999997038
0.12,20.0,20.19702656,1,flexion,0.0,120.0,2.0,2.0,0.0,4.779710187500008,74.38199999999284,496.31250000015115
0.13,20.0,20.248545236875,1,flexion,0.0,120.0,2.0,2.0,0.0,5.548342999999889,79.24612500000094,476.6250000005634
0.14,20.0,20.30799342,1,flexion,0.0,120.0,2.0,2.0,0.0,6.364632687500027,83.91450000000411,457.1625000000523
0.15,20.0,20.375837890625,1,flexion,0.0,120.0,2.0,2.0,0.0,7.226632999999971,88.38937500000199,437.92499999995016
0.16,20.0,20.45252608,1,flexion,0.0,120.0,2.0,2.0,0.0,8.132420187500067,92.67300000000311,418.9124999993687
0.17,20.0,20.538486294375,1,flexion,0.0,120.0,2.0,2.0,0.0,9.080093000000033,96.76762499998937,400.1250000000844
0.18,20.0,20.63412794,1,flexion,0.0,120.0,2.0,2.0,0.0,10.067772687499854,100.6755000000048,381.56250000120906
0.19,20.0,20.739841748125,1,flexion,0.0,120.0,2.0,2.0,0.0,11.09360300000013,104.39887500001355,363.2249999991899
0.2,20.0,20.856,1,flexion,0.0,120.0,2.0,2.0,0.0,12.155750187500125,107.9399999999886,345.1124999989119
0.21,20.0,20.982956751875,1,flexion,0.0,120.0,2.0,2.0,0.0,13.252402999999902,111.30112499999179,327.2250000008192
0.22,20.0,21.12104806,1,flexion,0.0,120.0,2.0,2.0,0.0,14.38177268749996,114.48450000000499,309.5625000004709
0.23,20.0,21.270592205625,1,flexion,0.0,120.0,2.0,2.0,0.0,15.542093000000001,117.4923750000012,292.12499999964336
0.24,20.0,21.43188992,1,flexion,0.0,120.0,2.0,2.0,0.0,16.731620187499985,120.32699999999785,274.9125000001129
0.25,20.0,21.605224609375,1,flexion,0.0,120.0,2.0,2.0,0.0,17.94863299999996,122.99062500000346,257.9250000005473
0.26,20.0,21.79086258,1,flexion,0.0,120.0,2.0,2.0,0.0,19.191432687500054,125.4855000000088,241.16249999961425
0.27,20.0,21.989053263125,1,flexion,0.0,120.0,2.0,2.0,0.0,20.458343000000134,127.81387499999575,224.62499999909014
0.28,20.0,22.20002944,1,flexion,0.0,120.0,2.0,2.0,0.0,21.74771018749997,129.9779999999906,208.3125000003072
0.29,20.0,22.424007466875,1,flexion,0.0,120.0,2.0,2.0,0.0,23.057902999999946,131.9801250000019,192.22500000060023
0.3,20.0,22.6611875,1,flexion,0.0,120.0,2.0,2.0,0.0,24.387312687500007,133.8225000000026,176.36249999997062
0.31,20.0,22.911753720625,1,flexion,0.0,120.0,2.0,2.0,0.0,25.734353,135.5073750000013,160.72499999975065
0.32,20.0,23.17587456,1,flexion,0.0,120.0,2.0,2.0,0.0,27.097460187500033,137.03699999999762,145.31249999949551
0.33,20.0,23.453702924375,1,flexion,0.0,120.0,2.0,2.0,0.0,28.47509299999995,138.4136249999912,130.12500000009197
0.34,20.0,23.74537642,1,flexion,0.0,120.0,2.0,2.0,0.0,29.865732687499857,139.63949999999946,115.16250000109807
0.35,20.0,24.051017578125,1,flexion,0.0,120.0,2.0,2.0,0.0,31.26788299999994,140.71687500001318,100.42500000073744
0.36,20.0,24.37073408,1,flexion,0.0,120.0,2.0,2.0,0.0,32.68007018750012,141.6480000000142,85.91249999900725
0.37,20.0,24.704618981875,1,flexion,0.0,120.0,2.0,2.0,0.0,34.100843000000225,142.43512499999332,71.6249999985763
0.38,20.0,25.052750940000003,1,flexion,0.0,120.0,2.0,2.0,0.0,35.52877268749999,143.08049999998573,57.56250000032992
0.39,20.0,25.415194435625,1,flexion,0.0,120.0,2.0,2.0,0.0,36.96245299999994,143.58637499999992,43.72500000027202
0.4,20.0,25.792,1,flexion,0.0,120.0,2.0,2.0,0.0,38.400500187499986,143.95499999999117,30.112499999735576
0.41,20.0,26.183204439375,1,flexion,0.0,120.0,2.0,2.0,0.0,39.84155299999976,144.18862499999463,16.725000001382284
0.42,20.0,26.588831059999997,1,flexion,0.0,120.0,2.0,2.0,0.0,41.28427268749988,144.28950000001882,3.5625000012188934
0.43,20.0,27.008889893124998,1,flexion,0.0,120.0,2.0,2.0,0.0,42.72734300000014,144.259875000019,-9.375000001199396
0.44,20.0,27.44337792,1,flexion,0.0,120.0,2.0,2.0,0.0,44.16947018750026,144.10199999999483,-22.087500002321292
0.45,20.0,27.892279296875003,1,flexion,0.0,120.0,2.0,2.0,0.0,45.60938300000004,143.81812499997258,-34.57499999992564
