subj,R2_mean,R2_torque,R2_activations,R2_forces,R2_fatigue
s03,0.9244,0.9706,0.9813,0.987,0.7934
s04,0.9172,0.8062,0.9317,0.9174,0.9304
s05,0.9818,0.9799,0.9829,0.9777,0.9854
s07,0.9773,0.9419,0.9738,0.9763,0.9907
s08,0.9739,0.9597,0.9775,0.9772,0.9708
s09,0.9845,0.9739,0.9833,0.9856,0.9872
s10,0.9653,0.9081,0.9798,0.9839,0.9467
s11,0.8904,0.9164,0.8751,0.907,0.8826
