number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_min_child_samples,params_n_estimators,params_num_leaves,params_subsample,state
11,0.9213165292232014,2026-06-17 11:55:23.284498,2026-06-17 11:55:30.899028,0 days 00:00:07.614530,0.5013184310228116,0.04028042289911835,6,594,26,0.6357214332823998,COMPLETE
2,0.9206905982155921,2026-06-17 11:53:42.550636,2026-06-17 11:53:58.255089,0 days 00:00:15.704453,0.5101091987201629,0.023554075015043426,43,527,66,0.6348517198806163,COMPLETE
16,0.9205568430362832,2026-06-17 11:56:11.319248,2026-06-17 11:56:22.892434,0 days 00:00:11.573186,0.6477954729457883,0.05031463958436455,17,597,43,0.6435579837472691,COMPLETE
12,0.9203498240084076,2026-06-17 11:55:30.899028,2026-06-17 11:55:42.486817,0 days 00:00:11.587789,0.506319112843619,0.03593100498698392,47,675,40,0.6002343019771781,COMPLETE
13,0.9197353588955248,2026-06-17 11:55:42.486817,2026-06-17 11:55:59.007767,0 days 00:00:16.520950,0.5932217616966525,0.04267217592283367,18,480,69,0.6703621448278276,COMPLETE
7,0.9188259113751466,2026-06-17 11:54:50.025554,2026-06-17 11:54:55.666155,0 days 00:00:05.640601,0.6051912805369204,0.09285316486894248,10,579,18,0.8682551478472638,COMPLETE
10,0.918588737268049,2026-06-17 11:55:09.077503,2026-06-17 11:55:23.284498,0 days 00:00:14.206995,0.8732691763941831,0.020979678587163462,50,677,34,0.6080183372697778,COMPLETE
14,0.9184495045184337,2026-06-17 11:55:59.007767,2026-06-17 11:56:04.269894,0 days 00:00:05.262127,0.5879396742197991,0.021092545659896347,40,621,15,0.6650698110673798,COMPLETE
8,0.9180376424581621,2026-06-17 11:54:55.666155,2026-06-17 11:55:04.337128,0 days 00:00:08.670973,0.9941869190296131,0.07434072053074224,9,426,35,0.7754406053849281,COMPLETE
15,0.9175390629665523,2026-06-17 11:56:04.269894,2026-06-17 11:56:11.319248,0 days 00:00:07.049354,0.5493404238814557,0.03200688692730659,5,527,27,0.7068245060065252,COMPLETE
5,0.9173860686171879,2026-06-17 11:54:26.355646,2026-06-17 11:54:36.423052,0 days 00:00:10.067406,0.5093949002181776,0.057171597546739464,33,406,58,0.8273735795474594,COMPLETE
17,0.9165896710295989,2026-06-17 11:56:22.892434,2026-06-17 11:56:27.746846,0 days 00:00:04.854412,0.5029837894630185,0.025624357411894595,43,300,26,0.736477030999529,COMPLETE
0,0.9164682925803149,2026-06-17 11:53:13.054524,2026-06-17 11:53:26.550339,0 days 00:00:13.495815,0.7118273996694524,0.08012967323928792,34,520,55,0.8179532731987588,COMPLETE
9,0.9155435475850748,2026-06-17 11:55:04.337128,2026-06-17 11:55:09.077503,0 days 00:00:04.740375,0.7331553864281531,0.08997841136924528,16,383,24,0.7013166410159128,COMPLETE
4,0.9150940871796599,2026-06-17 11:54:16.893108,2026-06-17 11:54:26.355646,0 days 00:00:09.462538,0.7609241608750359,0.027821675640115763,24,347,50,0.9778675668198336,COMPLETE
6,0.9118002670254152,2026-06-17 11:54:36.423052,2026-06-17 11:54:50.025554,0 days 00:00:13.602502,0.679753950286893,0.17570255390423972,25,545,49,0.8727281196413934,COMPLETE
1,0.91130991250205,2026-06-17 11:53:26.550339,2026-06-17 11:53:42.550636,0 days 00:00:16.000297,0.8958625190413323,0.1839470198513624,29,475,64,0.7533766075303111,COMPLETE
3,0.9109592863391358,2026-06-17 11:53:58.255089,2026-06-17 11:54:16.893108,0 days 00:00:18.638019,0.7307396811264659,0.1903918430107966,40,612,63,0.9196634256866895,COMPLETE
