subj,R2_mean,R2_torque,R2_activations,R2_forces,R2_fatigue
s03,0.8948,0.8178,0.9517,0.9573,0.7948
s04,0.821,0.6935,0.8508,0.8289,0.8153
s05,0.9537,0.9126,0.9441,0.9426,0.9847
s07,0.9476,0.8659,0.9404,0.9341,0.9888
s08,0.9223,0.8522,0.9156,0.8945,0.9742
s09,0.9625,0.8818,0.9603,0.9637,0.9836
s10,0.9269,0.7996,0.9382,0.938,0.9363
s11,0.7279,0.9086,0.713,0.6563,0.7691
