,mean,torque,activations,forces,fatigue
LGBM_base,0.918,0.908,0.954,0.961,0.842
LGBM_eng,0.951,0.942,0.961,0.964,0.929
LGBM_eng_optuna,0.952,0.937,0.962,0.964,0.936
LGBM_top8,0.945,0.942,0.958,0.957,0.92
LGBM_top12,0.951,0.938,0.96,0.965,0.93
