,mean,torque,activations,forces,fatigue
LGBM_Optuna,0.852,0.785,0.857,0.863,0.853
LightGBM,0.845,0.757,0.857,0.866,0.835
XGBoost,0.835,0.762,0.838,0.85,0.836
ExtraTrees,0.807,0.764,0.768,0.775,0.89
MLP,0.803,0.707,0.818,0.829,0.788
