,0
qdd_el,0.0061
cum_path_el,0.0035
grav_load,0.0016
abs_qdd_el,0.0013
qdd_sh,0.0002
cos_qsh,0.0002
qd_el2,0.0002
humerus_mass,0.0
forearm_mass,0.0
humerus_len,0.0
forearm_len,0.0
qd_el,-0.0
abs_qd_el,-0.0013
sin_qsh,-0.0014
qd_sh,-0.0015
q_sh,-0.0029
sin_qel,-0.0044
cos_qel,-0.0068
q_el,-0.0082
qel_x_fmass,-0.0117
cum_grav_imp,-0.012
time,-0.0201
