,mean,torque,activations,forces,fatigue
LightGBM,0.918,0.908,0.954,0.961,0.842
XGB+Optuna,0.907,0.902,0.954,0.961,0.806
XGBoost,0.905,0.902,0.951,0.958,0.808
MLP(sklearn),0.896,0.821,0.941,0.941,0.824
ExtraTrees,0.894,0.817,0.917,0.916,0.869
RandomForest,0.871,0.794,0.899,0.91,0.824
Ridge,0.563,-0.027,0.597,0.529,0.709
