subj,time,RSh_x,RSh_y,RSh_z,REl_x,REl_y,REl_z,RWr_x,RWr_y,RWr_z,elbow_moment,act_BIClong,act_BICshort,act_BRA,act_BRD_hand,frc_BIClong,frc_BICshort,frc_BRA,frc_BRD_hand,MF_BIClong,MF_BICshort,MF_BRA,MF_BRD_hand
s03,0.18,-0.06020572062953772,1.4246340967797597,-0.11706906794819831,-0.12419120211023488,1.143197478055955,-0.14632319725079285,-0.17400097425386726,0.8986040438660031,-0.09392838402890613,6.67539,0.23152,0.09488,0.20514,0.0977,135.9436,40.33979,202.01268,22.59196,0.05027,0.03641,0.01574,0.02676
s03,0.19,-0.060168319698151645,1.42464293800205,-0.11681563303506608,-0.12421328182589021,1.1430874419699633,-0.1460749996357597,-0.17402689762686585,0.8985935819589445,-0.09401270479898406,6.67827,0.23157,0.09485,0.2052,0.09771,136.00776,40.33002,202.13121,22.60395,0.05289,0.03831,0.01656,0.02816
s03,0.2,-0.060130918766765566,1.4246517792243403,-0.11656219812193384,-0.12423536154154556,1.1429774058839717,-0.14582680202072656,-0.17405282099986444,0.8985831200518858,-0.09409702556906199,6.68255,0.23167,0.09483,0.20531,0.09775,136.10046,40.32858,202.29697,22.61999,0.05551,0.0402,0.01739,0.02956
s03,0.21,-0.06003484567246686,1.424610030432422,-0.11658152886340892,-0.1242916302699071,1.1428712485958779,-0.14580330532408875,-0.17412217456991902,0.8985487766687701,-0.0941829918017907,6.68818,0.23183,0.09483,0.20546,0.09781,136.23357,40.33247,202.49569,22.63855,0.05814,0.04211,0.01821,0.03096
s03,0.22,-0.05993877257816816,1.4245682816405039,-0.11660085960488399,-0.12434789899826865,1.1427650913077838,-0.14577980862745094,-0.1741915281399736,0.8985144332856543,-0.0942689580345194,6.6951,0.23205,0.09485,0.20564,0.09787,136.41515,40.33941,202.71574,22.65844,0.06077,0.04401,0.01904,0.03236
s03,0.23,-0.05982011574440314,1.424497678955455,-0.1168879228889009,-0.12441478143698864,1.1427349277873733,-0.14597333238665255,-0.17425756825568117,0.8984851498081788,-0.09434752393137615,6.70323,0.23231,0.09488,0.20587,0.09796,136.61761,40.3552,202.97799,22.68209,0.0634,0.04591,0.01986,0.03376
s03,0.24,-0.05970145891063813,1.4244270762704065,-0.11717498617291781,-0.12448166387570864,1.1427047642669628,-0.14616685614585417,-0.17432360837138874,0.8984558663307034,-0.09442608982823288,6.71247,0.23262,0.09494,0.20615,0.09806,136.83896,40.38011,203.27946,22.7096,0.06604,0.04782,0.02069,0.03516
s03,0.25,-0.05961241586778059,1.424358862830994,-0.11766247543423615,-0.12452594396739827,1.1427704971044386,-0.14649163940423227,-0.1743972943613264,0.8984322394047514,-0.0944933096637538,6.72271,0.23296,0.09503,0.20647,0.09819,137.07659,40.41301,203.61585,22.74001,0.06868,0.04973,0.02151,0.03657
s03,0.26,-0.059523372824923045,1.4242906493915815,-0.11814996469555449,-0.12457022405908792,1.1428362299419144,-0.14681642266261036,-0.17447098035126402,0.8984086124787993,-0.09456052949927472,6.73383,0.23335,0.09513,0.20683,0.09833,137.32734,40.4537,203.98207,22.7732,0.07133,0.05164,0.02234,0.03797
s03,0.27,-0.059509390290054864,1.4242410804803636,-0.11874116939980242,-0.1245701573418865,1.1429557324157482,-0.14722459599868315,-0.17457901886299945,0.8983620403995013,-0.0946482004267311,6.74571,0.23376,0.09526,0.20723,0.09848,137.58824,40.50164,204.37309,22.80877,0.07398,0.05356,0.02317,0.03939
s03,0.28,-0.05949540775518668,1.4241915115691455,-0.11933237410405037,-0.12457009062468509,1.1430752348895818,-0.14763276933475591,-0.1746870573747349,0.8983154683202033,-0.09473587135418747,6.75818,0.23421,0.09541,0.20766,0.09866,137.85613,40.55617,204.78347,22.84629,0.07664,0.05548,0.024,0.0408
s03,0.29,-0.05955653715286962,1.4241653366588647,-0.11988813897895204,-0.12452640292264379,1.1431987619182196,-0.14810290622918904,-0.17476961880625116,0.8982273659731228,-0.0948933302440907,6.7711,0.23467,0.09557,0.20811,0.09884,138.1277,40.61655,205.20743,22.88528,0.07931,0.0574,0.02483,0.04222
s03,0.3,-0.05961766655055256,1.424139161748584,-0.12044390385385371,-0.12448271522060247,1.1433222889468575,-0.14857304312362216,-0.17485218023776747,0.8981392636260424,-0.09505078913399395,6.78429,0.23515,0.09575,0.20858,0.09903,138.39955,40.68196,205.63889,22.92523,0.08198,0.05933,0.02566,0.04364
s03,0.31,-0.059700468361753446,1.424154805899839,-0.12082711073971364,-0.12443227406179466,1.1434266807976083,-0.1489698515846779,-0.17482544369059785,0.89802424306175,-0.09527073955812242,6.7976,0.23563,0.09595,0.20906,0.09923,138.66617,40.75292,206.06906,22.96694,0.08466,0.06126,0.0265,0.04506
s03,0.32,-0.05978327017295433,1.4241704500510939,-0.12121031762557355,-0.12438183290298685,1.143531072648359,-0.14936666004573362,-0.17479870714342827,0.8979092224974575,-0.09549068998225088,6.81082,0.23612,0.09615,0.20954,0.09943,138.92814,40.82542,206.49656,23.0071,0.08734,0.0632,0.02734,0.04649
s03,0.33,-0.059833274898272254,1.4242397951343635,-0.12138131223723561,-0.1243916919521554,1.1436020231722797,-0.1495418000232216,-0.17469205340976088,0.897801834388949,-0.09571583602852668,6.8238,0.23661,0.09636,0.21002,0.09964,139.17966,40.90001,206.91198,23.04662,0.09003,0.06514,0.02817,0.04792
s03,0.34,-0.05988327962359017,1.424309140217633,-0.12155230684889767,-0.12440155100132394,1.1436729736962004,-0.14971694000070954,-0.1745853996760935,0.8976944462804405,-0.09594098207480246,6.83632,0.23709,0.09657,0.21049,0.09984,139.41957,40.97391,207.31044,23.08381,0.09273,0.06709,0.02901,0.04936
s03,0.35,-0.05989405286322708,1.424396007056699,-0.12157420551345444,-0.12450934486520437,1.1436821710869653,-0.1497090989157957,-0.17449616030239434,0.8976105982129579,-0.09613952694654697,6.84821,0.23755,0.09678,0.21095,0.10004,139.63955,41.04916,207.68156,23.12026,0.09543,0.06904,0.02986,0.05079
s03,0.36,-0.059904826102864,1.4244828738957651,-0.1215961041780112,-0.12461713872908481,1.1436913684777306,-0.14970125783088187,-0.1744069209286952,0.8975267501454751,-0.09633807181829147,6.85928,0.23798,0.09699,0.21137,0.10023,139.83854,41.12285,208.02055,23.15424,0.09814,0.071,0.0307,0.05223
s03,0.37,-0.059904223135537116,1.4245242200329824,-0.12154356442760873,-0.12476258238138477,1.143610034241489,-0.14964198589520544,-0.17437024446115246,0.8974505815661545,-0.0964772598426848,6.86932,0.23836,0.09718,0.21174,0.1004,140.01506,41.19253,208.32161,23.18634,0.10086,0.07296,0.03154,0.05367
s03,0.38,-0.059903620168210235,1.4245655661701997,-0.12149102467720627,-0.12490802603368471,1.1435287000052472,-0.149582713959529,-0.1743335679936097,0.897374412986834,-0.09661644786707814,6.87816,0.23869,0.09734,0.21204,0.10054,140.17787,41.25084,208.57263,23.21453,0.10358,0.07492,0.03239,0.05512
s03,0.39,-0.05990792790167614,1.4245413357253147,-0.12138242476223762,-0.12498438473390264,1.1433711018599517,-0.1495553175453132,-0.17432527934478415,0.8972907854430789,-0.09663792412327425,6.88561,0.23898,0.09748,0.21229,0.10067,140.31186,41.3027,208.77146,23.23848,0.1063,0.07688,0.03324,0.05657
s03,0.4,-0.05991223563514205,1.4245171052804295,-0.12127382484726898,-0.12506074343412057,1.1432135037146565,-0.14952792113109742,-0.1743169906959586,0.8972071578993239,-0.09665940037947035,6.8915,0.23921,0.09761,0.21248,0.10078,140.41416,41.34662,208.91268,23.25759,0.10902,0.07885,0.03408,0.05801
s03,0.41,-0.059907153712192594,1.424463554182107,-0.12109406205556549,-0.12505079737450792,1.1430473376228394,-0.14958700674549133,-0.17432241987505215,0.8971247502932859,-0.09657511530440663,6.89566,0.23939,0.09771,0.21261,0.10086,140.48173,41.38157,208.99107,23.27135,0.11175,0.08081,0.03493,0.05946
s03,0.42,-0.05990207178924314,1.4244100030837843,-0.12091429926386198,-0.12504085131489526,1.142881171531022,-0.14964609235988524,-0.1743278490541457,0.8970423426872478,-0.0964908302293429,6.89795,0.2395,0.09779,0.21266,0.10092,140.51197,41.40643,209.00211,23.27926,0.11447,0.08278,0.03578,0.06091
