frame,elbow_deg,msho_x,msho_y,msho_z,melb_x,melb_y,melb_z,mwri_x,mwri_y,mwri_z
0,28.82,0.01983,1.39276,-0.14938,-0.09281,1.15137,-0.03528,-0.23199,1.06857,0.12717
1,28.72,0.01983,1.39276,-0.14938,-0.09259,1.15096,-0.03574,-0.23168,1.06727,0.12633
2,28.55,0.01983,1.39276,-0.14938,-0.09229,1.15039,-0.03636,-0.23126,1.06540,0.12512
3,28.31,0.01983,1.39276,-0.14938,-0.09191,1.14966,-0.03718,-0.23069,1.06289,0.12348
4,27.98,0.01983,1.39276,-0.14938,-0.09142,1.14874,-0.03821,-0.22996,1.05968,0.12137
5,27.56,0.01983,1.39276,-0.14938,-0.09082,1.14765,-0.03946,-0.22906,1.05576,0.11875
6,27.06,0.01983,1.39276,-0.14938,-0.09012,1.14637,-0.04094,-0.22796,1.05111,0.11557
7,26.46,0.01983,1.39276,-0.14938,-0.08930,1.14493,-0.04264,-0.22665,1.04580,0.11184
8,25.77,0.01983,1.39276,-0.14938,-0.08839,1.14335,-0.04455,-0.22514,1.03989,0.10756
9,25.01,0.01983,1.39276,-0.14938,-0.08738,1.14165,-0.04664,-0.22342,1.03349,0.10275
10,24.19,0.01983,1.39276,-0.14938,-0.08630,1.13986,-0.04888,-0.22150,1.02673,0.09747
11,23.32,0.01983,1.39276,-0.14938,-0.08515,1.13803,-0.05125,-0.21941,1.01975,0.09180
12,22.41,0.01983,1.39276,-0.14938,-0.08397,1.13619,-0.05368,-0.21718,1.01270,0.08583
13,21.48,0.01983,1.39276,-0.14938,-0.08277,1.13438,-0.05614,-0.21484,1.00573,0.07966
14,20.56,0.01983,1.39276,-0.14938,-0.08158,1.13263,-0.05857,-0.21244,0.99897,0.07341
15,19.65,0.01983,1.39276,-0.14938,-0.08042,1.13098,-0.06094,-0.21003,0.99254,0.06720
16,18.77,0.01983,1.39276,-0.14938,-0.07930,1.12944,-0.06320,-0.20766,0.98652,0.06115
17,17.94,0.01983,1.39276,-0.14938,-0.07825,1.12802,-0.06533,-0.20537,0.98099,0.05536
18,17.15,0.01983,1.39276,-0.14938,-0.07728,1.12675,-0.06729,-0.20319,0.97597,0.04992
19,16.42,0.01983,1.39276,-0.14938,-0.07640,1.12562,-0.06906,-0.20117,0.97148,0.04487
20,15.76,0.01983,1.39276,-0.14938,-0.07561,1.12463,-0.07065,-0.19932,0.96752,0.04028
21,15.16,0.01983,1.39276,-0.14938,-0.07492,1.12377,-0.07205,-0.19764,0.96406,0.03614
22,14.62,0.01983,1.39276,-0.14938,-0.07431,1.12303,-0.07327,-0.19615,0.96105,0.03247
23,14.13,0.01983,1.39276,-0.14938,-0.07378,1.12240,-0.07433,-0.19482,0.95846,0.02922
24,13.70,0.01983,1.39276,-0.14938,-0.07332,1.12186,-0.07524,-0.19366,0.95622,0.02636
25,13.32,0.01983,1.39276,-0.14938,-0.07293,1.12140,-0.07602,-0.19264,0.95429,0.02385
26,12.97,0.01983,1.39276,-0.14938,-0.07259,1.12101,-0.07670,-0.19173,0.95261,0.02163
27,12.67,0.01983,1.39276,-0.14938,-0.07229,1.12067,-0.07730,-0.19093,0.95113,0.01965
28,12.38,0.01983,1.39276,-0.14938,-0.07202,1.12036,-0.07783,-0.19019,0.94981,0.01786
29,12.12,0.01983,1.39276,-0.14938,-0.07178,1.12009,-0.07832,-0.18952,0.94861,0.01621
30,11.88,0.01983,1.39276,-0.14938,-0.07156,1.11983,-0.07876,-0.18890,0.94751,0.01468
31,11.65,0.01983,1.39276,-0.14938,-0.07135,1.11960,-0.07918,-0.18830,0.94647,0.01323
32,11.43,0.01983,1.39276,-0.14938,-0.07115,1.11937,-0.07958,-0.18774,0.94550,0.01185
33,11.22,0.01983,1.39276,-0.14938,-0.07095,1.11916,-0.07997,-0.18719,0.94458,0.01053
34,11.02,0.01983,1.39276,-0.14938,-0.07077,1.11896,-0.08033,-0.18668,0.94370,0.00927
35,10.83,0.01983,1.39276,-0.14938,-0.07060,1.11877,-0.08068,-0.18618,0.94288,0.00807
36,10.66,0.01983,1.39276,-0.14938,-0.07043,1.11859,-0.08100,-0.18571,0.94211,0.00694
37,10.49,0.01983,1.39276,-0.14938,-0.07028,1.11842,-0.08131,-0.18528,0.94140,0.00589
38,10.35,0.01983,1.39276,-0.14938,-0.07014,1.11827,-0.08159,-0.18487,0.94075,0.00492
39,10.21,0.01983,1.39276,-0.14938,-0.07001,1.11813,-0.08184,-0.18451,0.94017,0.00405
40,10.10,0.01983,1.39276,-0.14938,-0.06989,1.11800,-0.08208,-0.18418,0.93966,0.00327
