time,rep_index,elbow_moment_Nm,task_failure,a0_BIClong,afat_BIClong,MF_BIClong,cap_BIClong,a0_BICshort,afat_BICshort,MF_BICshort,cap_BICshort,a0_BRA,afat_BRA,MF_BRA,cap_BRA,a0_BRD_hand,afat_BRD_hand,MF_BRD_hand,cap_BRD_hand
-0.00000,1,6.75648,0,0.23469,0.29368,0.00268,1.00000,0.09692,0.21276,0.00194,1.00000,0.20954,0.09133,0.00083,1.00000,0.09916,0.15640,0.00143,1.00000
0.01000,1,6.75374,0,0.23460,0.29337,0.00535,0.99997,0.09685,0.21252,0.00388,0.99998,0.20932,0.09133,0.00167,0.99999,0.09912,0.15623,0.00285,0.99999
0.02000,1,6.75062,0,0.23449,0.29304,0.00803,0.99995,0.09677,0.21227,0.00581,0.99996,0.20909,0.09132,0.00250,0.99998,0.09907,0.15605,0.00427,0.99997
0.03000,1,6.74680,0,0.23436,0.29268,0.01070,0.99992,0.09668,0.21200,0.00775,0.99994,0.20883,0.09131,0.00333,0.99998,0.09901,0.15586,0.00570,0.99996
0.04000,1,6.74208,0,0.23419,0.29227,0.01336,0.99989,0.09657,0.21170,0.00968,0.99992,0.20855,0.09127,0.00416,0.99997,0.09893,0.15564,0.00712,0.99994
0.05000,1,6.73643,0,0.23398,0.29184,0.01602,0.99987,0.09645,0.21137,0.01161,0.99990,0.20824,0.09122,0.00500,0.99996,0.09884,0.15540,0.00853,0.99993
0.06000,1,6.72994,0,0.23374,0.29136,0.01868,0.99984,0.09631,0.21102,0.01353,0.99988,0.20791,0.09115,0.00583,0.99995,0.09874,0.15514,0.00995,0.99991
0.07000,1,6.72279,0,0.23348,0.29088,0.02133,0.99981,0.09617,0.21065,0.01545,0.99986,0.20756,0.09108,0.00666,0.99994,0.09863,0.15488,0.01136,0.99990
0.08000,1,6.71526,0,0.23320,0.29037,0.02398,0.99979,0.09601,0.21027,0.01737,0.99985,0.20721,0.09098,0.00749,0.99993,0.09850,0.15461,0.01277,0.99989
0.09000,1,6.70764,0,0.23292,0.28985,0.02662,0.99976,0.09586,0.20992,0.01928,0.99983,0.20685,0.09088,0.00832,0.99993,0.09837,0.15434,0.01418,0.99987
0.10000,1,6.70024,0,0.23264,0.28937,0.02926,0.99973,0.09571,0.20958,0.02119,0.99981,0.20651,0.09078,0.00914,0.99992,0.09825,0.15407,0.01558,0.99986
0.11000,1,6.69334,0,0.23238,0.28891,0.03190,0.99971,0.09557,0.20925,0.02310,0.99979,0.20619,0.09068,0.00997,0.99991,0.09812,0.15383,0.01698,0.99984
0.12000,1,6.68720,0,0.23214,0.28850,0.03453,0.99968,0.09543,0.20896,0.02501,0.99977,0.20590,0.09058,0.01080,0.99990,0.09801,0.15360,0.01839,0.99983
0.13000,1,6.68204,0,0.23193,0.28816,0.03716,0.99965,0.09531,0.20869,0.02691,0.99975,0.20565,0.09049,0.01162,0.99989,0.09791,0.15341,0.01978,0.99982
0.14000,1,6.67803,0,0.23177,0.28789,0.03978,0.99963,0.09520,0.20849,0.02881,0.99973,0.20545,0.09041,0.01245,0.99988,0.09783,0.15325,0.02118,0.99980
0.15000,1,6.67529,0,0.23165,0.28767,0.04240,0.99960,0.09510,0.20834,0.03071,0.99971,0.20529,0.09035,0.01327,0.99988,0.09777,0.15312,0.02258,0.99979
0.16000,1,6.67390,0,0.23157,0.28754,0.04503,0.99958,0.09502,0.20823,0.03261,0.99969,0.20519,0.09030,0.01409,0.99987,0.09772,0.15305,0.02397,0.99977
0.17000,1,6.67393,0,0.23152,0.28747,0.04765,0.99955,0.09494,0.20817,0.03451,0.99967,0.20513,0.09029,0.01492,0.99986,0.09770,0.15303,0.02537,0.99976
0.18000,1,6.67539,0,0.23152,0.28749,0.05027,0.99952,0.09488,0.20816,0.03641,0.99965,0.20514,0.09028,0.01574,0.99985,0.09770,0.15305,0.02676,0.99975
0.19000,1,6.67827,0,0.23157,0.28759,0.05289,0.99950,0.09485,0.20820,0.03831,0.99964,0.20520,0.09030,0.01656,0.99984,0.09771,0.15313,0.02816,0.99973
0.20000,1,6.68255,0,0.23167,0.28776,0.05551,0.99947,0.09483,0.20831,0.04020,0.99962,0.20531,0.09032,0.01739,0.99983,0.09775,0.15323,0.02956,0.99972
0.21000,1,6.68818,0,0.23183,0.28801,0.05814,0.99944,0.09483,0.20845,0.04211,0.99960,0.20546,0.09037,0.01821,0.99983,0.09781,0.15335,0.03096,0.99970
0.22000,1,6.69510,0,0.23205,0.28835,0.06077,0.99942,0.09485,0.20861,0.04401,0.99958,0.20564,0.09042,0.01904,0.99982,0.09787,0.15351,0.03236,0.99969
0.23000,1,6.70323,0,0.23231,0.28875,0.06340,0.99939,0.09488,0.20884,0.04591,0.99956,0.20587,0.09048,0.01986,0.99981,0.09796,0.15369,0.03376,0.99968
0.24000,1,6.71247,0,0.23262,0.28921,0.06604,0.99937,0.09494,0.20911,0.04782,0.99954,0.20615,0.09056,0.02069,0.99980,0.09806,0.15392,0.03516,0.99966
0.25000,1,6.72271,0,0.23296,0.28975,0.06868,0.99934,0.09503,0.20941,0.04973,0.99952,0.20647,0.09066,0.02151,0.99979,0.09819,0.15417,0.03657,0.99965
0.26000,1,6.73383,0,0.23335,0.29033,0.07133,0.99931,0.09513,0.20979,0.05164,0.99950,0.20683,0.09078,0.02234,0.99978,0.09833,0.15446,0.03797,0.99963
