time,elbow_moment_Nm,act_TRIlong,act_TRIlat,act_TRImed,act_BIClong,act_BICshort,act_BRA,act_BRD_hand,act_elbow_assist,frc_TRIlong,frc_TRIlat,frc_TRImed,frc_BIClong,frc_BICshort,frc_BRA,frc_BRD_hand,rep_index,fatigue_level
-0.00000,5.56123,0.01001,0.01003,0.01003,0.19540,0.08794,0.18809,0.08325,0.01380,7.40613,4.96704,4.65812,111.75955,37.46107,184.95310,19.17532,1,0.00000
0.01000,5.55950,0.01001,0.01003,0.01003,0.19535,0.08789,0.18801,0.08323,0.01379,7.40558,4.96704,4.65813,111.73968,37.43780,184.87986,19.17005,1,0.00000
0.02000,5.55743,0.01001,0.01003,0.01003,0.19529,0.08783,0.18792,0.08320,0.01378,7.40485,4.96688,4.65800,111.71319,37.41282,184.79573,19.16364,1,0.00000
0.03000,5.55473,0.01001,0.01003,0.01003,0.19521,0.08775,0.18781,0.08316,0.01378,7.40392,4.96657,4.65772,111.67466,37.38440,184.69266,19.15520,1,0.00000
0.04000,5.55123,0.01001,0.01003,0.01003,0.19510,0.08766,0.18768,0.08308,0.01376,7.40277,4.96603,4.65706,111.62477,37.34745,184.57472,19.13872,1,0.00000
0.05000,5.54683,0.01001,0.01003,0.01003,0.19496,0.08756,0.18751,0.08301,0.01375,7.40137,4.96540,4.65648,111.55384,37.30903,184.42153,19.12466,1,0.00000
0.06000,5.54157,0.01001,0.01003,0.01003,0.19478,0.08745,0.18732,0.08293,0.01374,7.39968,4.96461,4.65575,111.46651,37.26525,184.24335,19.10773,1,0.00000
0.07000,5.53552,0.01001,0.01003,0.01003,0.19458,0.08733,0.18710,0.08284,0.01372,7.39769,4.96365,4.65488,111.36487,37.21654,184.04345,19.08822,1,0.00000
0.08000,5.52884,0.01001,0.01003,0.01003,0.19434,0.08719,0.18686,0.08274,0.01370,7.39537,4.96274,4.65404,111.24896,37.16191,183.83266,19.06729,1,0.00000
0.09000,5.52171,0.01001,0.01003,0.01003,0.19412,0.08699,0.18666,0.08250,0.01364,7.39272,4.96246,4.65348,111.14442,37.08270,183.67229,19.01643,1,0.00000
0.10000,5.51428,0.01001,0.01003,0.01003,0.19385,0.08683,0.18640,0.08238,0.01362,7.38971,4.96173,4.65279,111.00918,37.01784,183.46119,18.99424,1,0.00000
0.11000,5.50675,0.01001,0.01003,0.01003,0.19357,0.08666,0.18614,0.08226,0.01359,7.38636,4.96090,4.65200,110.87185,36.95104,183.25305,18.97170,1,0.00000
0.12000,5.49924,0.01001,0.01003,0.01003,0.19324,0.08653,0.18583,0.08228,0.01362,7.38266,4.95955,4.65110,110.70618,36.90386,182.99779,18.98255,1,0.00000
0.13000,5.49189,0.01001,0.01003,0.01003,0.19296,0.08636,0.18558,0.08216,0.01359,7.37864,4.95854,4.65015,110.57240,36.83602,182.80932,18.96082,1,0.00000
0.14000,5.48478,0.01001,0.01003,0.01003,0.19268,0.08619,0.18535,0.08205,0.01357,7.37431,4.95743,4.64912,110.44338,36.76859,182.63644,18.93985,1,0.00000
0.15000,5.47799,0.01001,0.01003,0.01003,0.19241,0.08601,0.18513,0.08193,0.01355,7.36968,4.95624,4.64799,110.32051,36.70208,182.48191,18.91983,1,0.00000
0.16000,5.47157,0.01001,0.01003,0.01003,0.19216,0.08585,0.18493,0.08182,0.01353,7.36479,4.95495,4.64677,110.20477,36.63694,182.34782,18.90091,1,0.00000
0.17000,5.46557,0.01001,0.01003,0.01003,0.19191,0.08568,0.18475,0.08171,0.01351,7.35967,4.95359,4.64548,110.09691,36.57359,182.23579,18.88326,1,0.00000
0.18000,5.46002,0.01001,0.01003,0.01003,0.19169,0.08551,0.18457,0.08160,0.01349,7.35434,4.95215,4.64412,110.01801,36.50811,182.12861,18.86506,1,0.00000
0.19000,5.45496,0.01001,0.01003,0.01003,0.19150,0.08534,0.18439,0.08149,0.01347,7.34884,4.95065,4.64269,109.97355,36.43983,182.02325,18.84590,1,0.00000
0.20000,5.45042,0.01001,0.01003,0.01003,0.19132,0.08517,0.18424,0.08138,0.01346,7.34455,4.94909,4.64120,109.94064,36.37436,181.94406,18.82823,1,0.00000
0.21000,5.44645,0.01001,0.01003,0.01003,0.19122,0.08495,0.18418,0.08112,0.01340,7.34173,4.94781,4.63948,109.95117,36.28826,181.95361,18.77614,1,0.00000
0.22000,5.44309,0.01001,0.01003,0.01003,0.19109,0.08480,0.18408,0.08103,0.01338,7.33889,4.94616,4.63788,109.94275,36.22923,181.93142,18.76148,1,0.00000
0.23000,5.44039,0.01001,0.01003,0.01003,0.19097,0.08466,0.18402,0.08095,0.01337,7.33608,4.94449,4.63626,109.94709,36.17426,181.93939,18.74869,1,0.00000
0.24000,5.43842,0.01001,0.01003,0.01003,0.19089,0.08453,0.18399,0.08087,0.01336,7.33330,4.94282,4.63463,109.96499,36.12393,181.97925,18.73796,1,0.00000
0.25000,5.43722,0.01001,0.01003,0.01003,0.19083,0.08442,0.18400,0.08081,0.01336,7.33060,4.94116,4.63301,109.99727,36.07879,182.05277,18.72948,1,0.00000
0.26000,5.43687,0.01001,0.01003,0.01003,0.19080,0.08432,0.18405,0.08076,0.01336,7.32798,4.93952,4.63140,110.04476,36.03946,182.16161,18.72348,1,0.00000
0.27000,5.43742,0.01001,0.01003,0.01003,0.19081,0.08424,0.18414,0.08073,0.01336,7.32548,4.93793,4.62983,110.10829,36.00652,182.30728,18.72015,1,0.00000
0.28000,5.43892,0.01001,0.01003,0.01003,0.19085,0.08417,0.18428,0.08071,0.01336,7.32311,4.93639,4.62831,110.18859,35.98053,182.49106,18.71968,1,0.00000
0.29000,5.44142,0.01001,0.01003,0.01003,0.19093,0.08413,0.18446,0.08070,0.01337,7.32091,4.93494,4.62687,110.28626,35.96204,182.71392,18.72227,1,0.00000
0.30000,5.44497,0.01001,0.01003,0.01003,0.19105,0.08411,0.18469,0.08072,0.01338,7.31889,4.93359,4.62551,110.40175,35.95155,182.97642,18.72805,1,0.00000
0.31000,5.44959,0.01001,0.01003,0.01003,0.19121,0.08411,0.18496,0.08075,0.01340,7.31709,4.93236,4.62427,110.53524,35.94950,183.27867,18.73717,1,0.00000
0.32000,5.45530,0.01001,0.01003,0.01003,0.19141,0.08414,0.18529,0.08080,0.01342,7.31552,4.93126,4.62314,110.68674,35.95624,183.62020,18.74972,1,0.00000
0.33000,5.46209,0.01001,0.01003,0.01003,0.19165,0.08419,0.18566,0.08087,0.01344,7.31422,4.93032,4.62216,110.85591,35.97203,184.00006,18.76568,1,0.00000
0.34000,5.46996,0.01001,0.01003,0.01003,0.19194,0.08427,0.18609,0.08096,0.01347,7.31320,4.92954,4.62134,111.04216,35.99703,184.41654,18.78505,1,0.00000
0.35000,5.47887,0.01001,0.01003,0.01003,0.19227,0.08437,0.18656,0.08108,0.01350,7.31248,4.92896,4.62070,111.24439,36.03132,184.86721,18.80779,1,0.00000
0.36000,5.48875,0.01001,0.01003,0.01003,0.19263,0.08450,0.18707,0.08121,0.01354,7.31208,4.92859,4.62025,111.46130,36.07482,185.34897,18.83375,1,0.00000
0.37000,5.49954,0.01001,0.01003,0.01003,0.19304,0.08466,0.18762,0.08135,0.01358,7.31202,4.92843,4.62001,111.69116,36.12731,185.85793,18.86273,1,0.00000
0.38000,5.51113,0.01001,0.01003,0.01003,0.19348,0.08484,0.18821,0.08152,0.01362,7.31231,4.92851,4.61999,111.93185,36.18842,186.38941,18.89445,1,0.00000
0.39000,5.52342,0.01001,0.01003,0.01003,0.19394,0.08504,0.18883,0.08170,0.01367,7.31295,4.92883,4.62020,112.18087,36.25767,186.93801,18.92859,1,0.00000
0.40000,5.53625,0.01001,0.01003,0.01003,0.19444,0.08526,0.18947,0.08190,0.01372,7.31396,4.92941,4.62065,112.43534,36.33438,187.49757,18.96473,1,0.00000
0.41000,5.54947,0.01001,0.01003,0.01003,0.19495,0.08551,0.19013,0.08211,0.01377,7.31533,4.93024,4.62134,112.69208,36.41776,188.06126,19.00240,1,0.00000
0.42000,5.56290,0.01001,0.01003,0.01003,0.19543,0.08583,0.19074,0.08249,0.01387,7.31706,4.93090,4.62230,112.91613,36.53250,188.55859,19.07754,1,0.00000
0.43000,5.57634,0.01001,0.01003,0.01003,0.19602,0.08605,0.19148,0.08256,0.01389,7.31915,4.93268,4.62348,113.19813,36.60052,189.17084,19.08019,1,0.00000
0.44000,5.58960,0.01001,0.01003,0.01003,0.19656,0.08634,0.19215,0.08279,0.01394,7.32157,4.93428,4.62492,113.43976,36.69761,189.70059,19.11908,1,0.00000
