time,theta_s,theta_e,theta_s_ref,theta_e_ref,emg_biceps,emg_triceps,emg_deltoid,emg_biceps_fn,emg_triceps_fn,emg_deltoid_fn,load_kg,condition,trial_id,subject_id,emg_biceps_rms,emg_triceps_rms,emg_deltoid_rms,emg_biceps_var,emg_triceps_var,emg_deltoid_var,cci_s,cci_e,nmi
0.0,0.0,-0.0,0.0,0.0,0.012403814999999999,0.011256443333333333,0.01264039,0.012470245,0.011256443333333333,0.0121457,2.0,loaded_reaching,0,1,0.013163810475706302,0.01118360324640801,0.013867416589104835,2.4719332159100036e-07,1.7650588089999498e-09,6.738252457799994e-07,0.8928304639576035,0.9186309526398893,0.7245845666389972
0.01,0.0,0.00056997,0.0,0.000235,0.012556145,0.011236673333333334,0.0128673,0.012637217499999999,0.011236673333333334,0.012262133333333333,2.0,loaded_reaching,0,1,0.013256296166682287,0.011177338485785435,0.014026660821321335,3.0629855388305824e-07,1.9983855921028107e-09,8.47619116204958e-07,0.8869144053206847,0.9148766613260251,0.7207175432253133
0.02,0.0,0.00245822,0.0,0.001859,0.01271536,0.01121837,0.01311179,0.0128137275,0.01121837,0.01238545,2.0,loaded_reaching,0,1,0.013350334548437275,0.011171322094825612,0.014189396516510725,3.7310121005885425e-07,2.2314080672839158e-09,1.0450568022222212e-06,0.8809593912797522,0.9111021091505361,0.7168265975720488
0.03,0.0,0.00696988,0.0,0.00621,0.012880535,0.011201490000000001,0.01337273,0.0129988775,0.011201490000000001,0.012515020000000002,2.0,loaded_reaching,0,1,0.01344607369108172,0.011165522175122263,0.0143554510213778,4.482786308852072e-07,2.4648940848125965e-09,1.2670093954366853e-06,0.8749732702213979,0.9073014675752955,0.7129124280519263
0.04,0.0,0.01538466,0.0,0.01457,0.013050735,0.011185966666666667,0.01364862,0.01319166,0.011185966666666667,0.012650083333333333,2.0,loaded_reaching,0,1,0.013543709375639581,0.011159909772795181,0.014524697906806137,5.326858709088012e-07,2.6998637565192724e-09,1.5143993582025502e-06,0.8689620983083084,0.9034674613473855,0.7089745393955205
0.05,0.0,0.02894625,0.0,0.028168,0.01322514,0.011171696666666668,0.0139378,0.013391077500000001,0.011171696666666668,0.012789843333333334,2.0,loaded_reaching,0,1,0.013743269130611416,0.011182997931735843,0.014797312586627117,9.705584422388894e-07,9.779677527703665e-09,2.273286577549332e-06,0.8608494112590642,0.8972502203121823,0.7032424467950789
0.06,0.0,0.04885376,0.0,0.048177,0.01340312,0.011158556666666666,0.01423857,0.01359627,0.011158556666666666,0.012933519999999999,2.0,loaded_reaching,0,1,0.01393327958052377,0.011202531844803357,0.01505803305395537,1.3743295631015632e-06,1.4762892683159703e-08,2.9833366145984367e-06,0.8531503654097059,0.8913248108720749,0.6977923263793039
0.07,0.0,0.07625551,0.0,0.075719,0.013584315,0.011146413333333334,0.01454933,0.01380658,0.011146413333333334,0.01308042,2.0,loaded_reaching,0,1,0.014121582452390445,0.011221550489067462,0.015314785783004914,1.780778106843772e-06,1.9553317356247547e-08,3.6923206417294106e-06,0.8457179254179258,0.885534377126886,0.6925027093845317
0.08,0.0,0.11224507,0.0,0.111861,0.013768655000000001,0.011135113333333333,0.01486874,0.0140216275,0.011135113333333333,0.013229990000000002,2.0,loaded_reaching,0,1,0.014303983516725283,0.01123790248374647,0.015562999087777786,2.1704029127145837e-06,2.293015810123453e-08,4.371992402502777e-06,0.8385899376398133,0.8799242562910796,0.6874069578056479
0.09,0.0,0.1578593,0.0,0.157621,0.013956360000000001,0.011124519999999999,0.01519573,0.014241315,0.011124519999999999,0.01338182,2.0,loaded_reaching,0,1,0.014365233334762889,0.011187099525277668,0.0157272698614147,2.127766750800554e-06,7.231432236244987e-08,4.594725433663156e-06,0.831279657696903,0.8755882910891579,0.6827479738477313
0.1,0.0,0.21407799,0.0,0.213965,0.014147940000000001,0.011114496666666666,0.01552955,0.014465802500000001,0.011114496666666666,0.013535636666666668,2.0,loaded_reaching,0,1,0.014437209542407252,0.01114098005163123,0.015897594855766077,2.1214364053247503e-06,1.1234735485497202e-07,4.870723489798999e-06,0.8240499408578613,0.8710971870842821,0.6780592278101781
0.11,0.0,0.28182467,0.0,0.28181,0.014344125,0.011104926666666667,0.01586973,0.014695489999999999,0.011104926666666667,0.013691309999999998,2.0,loaded_reaching,0,1,0.014616996374125012,0.011090956774128115,0.01622556617387757,2.041788590480687e-06,1.5081162796097183e-07,4.894107148943999e-06,0.812003108425159,0.8628088985320449,0.66992485168288
0.12,0.0,0.36196834,0.0,0.362021,0.014545875,0.011095686666666667,0.01621601,0.0149309475,0.011095686666666667,0.01384879,2.0,loaded_reaching,0,1,0.014808754924441276,0.01104165727597583,0.016562744578333025,1.9863019190261867e-06,1.8443502137122155e-07,4.908887173874999e-06,0.7999635241138406,0.8542401622297195,0.6616816500707516
0.13,0.0,0.45532539,0.0,0.455417,0.014754295,0.011086689999999998,0.01656832,0.0151728725,0.011086689999999998,0.014008096666666666,2.0,loaded_reaching,0,1,0.015011423374889662,0.010992859019714597,0.01690710977694591,1.9529134843106864e-06,2.1368401596030465e-07,4.907976504803998e-06,0.7879912055978746,0.8454327742270905,0.6533698972966426
0.14,0.0,0.56266184,0.0,0.562769,0.016282285,0.011501366666666665,0.01818986,0.016603195,0.011501366666666665,0.015242566666666665,2.0,loaded_reaching,0,1,0.015225652134223472,0.010944494441973223,0.017257647411575976,1.9446475075631863e-06,2.3869586079874874e-07,4.8901445224947455e-06,0.7761188096563734,0.8363786745153544,0.6449993508686793
0.15,0.0,0.68469532,0.0,0.6848,0.01652328,0.011491556666666666,0.01853383,0.016858275,0.011491556666666666,0.015412026666666667,2.0,loaded_reaching,0,1,0.015453303216616586,0.010896601513871016,0.01761395011313121,1.968916539536498e-06,2.5943727130585973e-07,4.8574218419547436e-06,0.7643639782516257,0.8270381321111765,0.6365611930784426
0.16,0.0,0.82209696,0.0,0.822187,0.01685064,0.011521579999999998,0.01895562,0.01719413,0.011521579999999998,0.015650723333333335,2.0,loaded_reaching,0,1,0.015694129539177818,0.010849018502170496,0.017974605002668488,2.024580222721185e-06,2.7617320434877624e-07,4.805535938342743e-06,0.7527604653950952,0.8174320370177847,0.6280773010984753
0.17,0.0,0.97549288,0.0,0.975562,0.017109835,0.011512333333333333,0.01930025,0.01746311,0.011512333333333333,0.015821783333333336,2.0,loaded_reaching,0,1,0.01595098727401301,0.010801866416917135,0.01833972753172072,2.123500938784747e-06,2.8876564718610944e-07,4.738829062352742e-06,0.7413112529347801,0.807499849681774,0.6195246714466139
0.18,0.0,1.14546544,0.0,1.145512,0.015426200000000001,0.010229593333333334,0.01843552,0.01591524,0.010229593333333334,0.014210313333333334,2.0,loaded_reaching,0,1,0.01622299087781315,0.010754925240578228,0.018707713724128744,2.2603623643961834e-06,2.9753143537066486e-07,4.65083103093474e-06,0.730047313806758,0.7972837154304101,0.6109325668948622
0.19,0.0,1.33255422,0.0,1.332579,0.015742355,0.010225263333333333,0.01884349,0.0162245125,0.010225263333333333,0.014400640000000001,2.0,loaded_reaching,0,1,0.01652919830621282,0.010704496575677593,0.01908591079442058,2.5342553026886813e-06,3.0666909889955374e-07,4.58809712102399e-06,0.7186298010493969,0.7860926382395786,0.6018890583155876
