subj,time,rep,q_sh,q_el,qd_sh,qd_el,qdd_sh,qdd_el,elbow_moment,act_BIClong,act_BICshort,act_BRA,act_BRD_hand,frc_BIClong,frc_BICshort,frc_BRA,frc_BRD_hand,MF_BIClong,MF_BICshort,MF_BRA,MF_BRD_hand,humerus_mass,forearm_mass,humerus_len,forearm_len
s09,0.00000,1,30.79239,2.98460,0.20440,-0.23450,0.78500,-5.99500,4.76614,0.16955,0.05942,0.27814,0.07002,96.58133,24.57697,270.91402,15.59598,0.00397,0.00288,0.00000,0.00213,1.36494,1.41301,0.26202,0.28981
s09,0.01000,1,30.79443,2.98225,0.21225,-0.29445,1.20500,-9.24250,4.75515,0.16918,0.05927,0.27756,0.06986,96.37028,24.51343,270.36257,15.56068,0.00792,0.00575,0.00000,0.00425,1.36494,1.41301,0.26202,0.28981
s09,0.02000,1,30.79663,2.97871,0.22850,-0.41935,1.67000,-12.97000,4.74471,0.16880,0.05910,0.27699,0.06970,96.16462,24.44878,269.84765,15.52602,0.01187,0.00862,0.00000,0.00637,1.36494,1.41301,0.26202,0.28981
s09,0.03000,1,30.79900,2.97386,0.24565,-0.55385,1.75250,-13.88750,4.73524,0.16845,0.05894,0.27647,0.06955,95.97200,24.38508,269.39520,15.49327,0.01581,0.01148,0.00000,0.00849,1.36494,1.41301,0.26202,0.28981
s09,0.04000,1,30.80155,2.96763,0.26355,-0.69710,1.83000,-14.72250,4.72707,0.16812,0.05878,0.27601,0.06940,95.79778,24.32383,269.02276,15.46328,0.01975,0.01434,0.00000,0.01060,1.36494,1.41301,0.26202,0.28981
s09,0.05000,1,30.80428,2.95992,0.28225,-0.84830,1.90000,-15.47250,4.72031,0.16782,0.05863,0.27562,0.06926,95.64452,24.26583,268.73887,15.43648,0.02367,0.01719,0.00000,0.01271,1.36494,1.41301,0.26202,0.28981
s09,0.06000,1,30.80719,2.95066,0.30155,-1.00655,1.95250,-16.11750,4.71497,0.16756,0.05848,0.27531,0.06914,95.51226,24.21125,268.54394,15.41287,0.02760,0.02004,0.00000,0.01482,1.36494,1.41301,0.26202,0.28981
s09,0.07000,1,30.81031,2.93979,0.32130,-1.17065,1.99000,-16.63500,4.71093,0.16733,0.05834,0.27508,0.06903,95.39913,24.15979,268.43223,15.39214,0.03152,0.02289,0.00000,0.01693,1.36494,1.41301,0.26202,0.28981
s09,0.08000,1,30.81362,2.92725,0.34135,-1.33925,2.01000,-17.01750,4.70802,0.16712,0.05821,0.27491,0.06893,95.30205,24.11078,268.39410,15.37380,0.03545,0.02574,0.00000,0.01904,1.36494,1.41301,0.26202,0.28981
s09,0.09000,1,30.81713,2.91301,0.36150,-1.51100,2.01500,-17.26500,4.70601,0.16694,0.05808,0.27481,0.06884,95.21745,24.06327,268.41827,15.35719,0.03937,0.02859,0.00000,0.02115,1.36494,1.41301,0.26202,0.28981
