frame,elbow_deg,msho_x,msho_y,msho_z,melb_x,melb_y,melb_z,mwri_x,mwri_y,mwri_z
0,2.98,-0.00424,1.31659,-0.14038,-0.08481,1.02156,-0.04138,-0.18172,0.81401,0.06141
1,2.98,-0.00424,1.31659,-0.14038,-0.08481,1.02157,-0.04136,-0.18172,0.81401,0.06142
2,2.97,-0.00424,1.31659,-0.14038,-0.08481,1.02158,-0.04134,-0.18173,0.81401,0.06141
3,2.95,-0.00424,1.31659,-0.14038,-0.08481,1.02159,-0.04131,-0.18173,0.81401,0.06139
4,2.93,-0.00424,1.31659,-0.14038,-0.08481,1.02160,-0.04128,-0.18174,0.81399,0.06135
5,2.90,-0.00424,1.31659,-0.14038,-0.08481,1.02162,-0.04125,-0.18175,0.81397,0.06129
6,2.86,-0.00424,1.31659,-0.14038,-0.08482,1.02163,-0.04122,-0.18176,0.81393,0.06121
7,2.82,-0.00424,1.31659,-0.14038,-0.08482,1.02165,-0.04118,-0.18178,0.81389,0.06111
8,2.77,-0.00424,1.31659,-0.14038,-0.08482,1.02167,-0.04113,-0.18179,0.81384,0.06099
9,2.71,-0.00424,1.31659,-0.14038,-0.08482,1.02169,-0.04109,-0.18181,0.81378,0.06085
10,2.65,-0.00424,1.31659,-0.14038,-0.08483,1.02171,-0.04104,-0.18183,0.81371,0.06070
11,2.58,-0.00424,1.31659,-0.14038,-0.08483,1.02174,-0.04100,-0.18184,0.81364,0.06053
12,2.52,-0.00424,1.31659,-0.14038,-0.08483,1.02176,-0.04095,-0.18186,0.81357,0.06035
13,2.45,-0.00424,1.31659,-0.14038,-0.08484,1.02178,-0.04090,-0.18188,0.81349,0.06017
14,2.38,-0.00424,1.31659,-0.14038,-0.08484,1.02180,-0.04086,-0.18190,0.81341,0.05998
15,2.31,-0.00424,1.31659,-0.14038,-0.08484,1.02182,-0.04081,-0.18192,0.81333,0.05980
16,2.25,-0.00424,1.31659,-0.14038,-0.08485,1.02184,-0.04077,-0.18194,0.81326,0.05961
17,2.18,-0.00424,1.31659,-0.14038,-0.08485,1.02186,-0.04074,-0.18196,0.81318,0.05944
18,2.13,-0.00424,1.31659,-0.14038,-0.08485,1.02188,-0.04070,-0.18197,0.81311,0.05927
19,2.07,-0.00424,1.31659,-0.14038,-0.08485,1.02189,-0.04068,-0.18199,0.81304,0.05911
20,2.03,-0.00424,1.31659,-0.14038,-0.08485,1.02190,-0.04065,-0.18200,0.81298,0.05896
21,1.98,-0.00424,1.31659,-0.14038,-0.08485,1.02191,-0.04064,-0.18201,0.81293,0.05883
22,1.95,-0.00424,1.31659,-0.14038,-0.08486,1.02191,-0.04062,-0.18202,0.81288,0.05872
23,1.92,-0.00424,1.31659,-0.14038,-0.08486,1.02192,-0.04061,-0.18203,0.81283,0.05862
24,1.89,-0.00424,1.31659,-0.14038,-0.08486,1.02192,-0.04060,-0.18203,0.81280,0.05854
25,1.88,-0.00424,1.31659,-0.14038,-0.08486,1.02193,-0.04060,-0.18203,0.81278,0.05849
26,1.87,-0.00424,1.31659,-0.14038,-0.08486,1.02193,-0.04059,-0.18204,0.81277,0.05846
27,1.86,-0.00424,1.31659,-0.14038,-0.08486,1.02193,-0.04059,-0.18204,0.81276,0.05845
28,1.87,-0.00424,1.31659,-0.14038,-0.08486,1.02193,-0.04058,-0.18204,0.81277,0.05847
29,1.88,-0.00424,1.31659,-0.14038,-0.08486,1.02194,-0.04057,-0.18204,0.81280,0.05853
30,1.89,-0.00424,1.31659,-0.14038,-0.08486,1.02194,-0.04057,-0.18204,0.81283,0.05861
31,1.92,-0.00424,1.31659,-0.14038,-0.08486,1.02195,-0.04056,-0.18203,0.81288,0.05872
32,1.95,-0.00424,1.31659,-0.14038,-0.08486,1.02195,-0.04055,-0.18203,0.81294,0.05886
33,1.98,-0.00424,1.31659,-0.14038,-0.08486,1.02196,-0.04053,-0.18202,0.81302,0.05902
34,2.02,-0.00424,1.31659,-0.14038,-0.08486,1.02196,-0.04052,-0.18202,0.81310,0.05921
35,2.07,-0.00424,1.31659,-0.14038,-0.08486,1.02197,-0.04051,-0.18201,0.81319,0.05941
36,2.12,-0.00424,1.31659,-0.14038,-0.08486,1.02198,-0.04049,-0.18200,0.81329,0.05963
37,2.17,-0.00424,1.31659,-0.14038,-0.08486,1.02198,-0.04048,-0.18199,0.81339,0.05985
