frame,elbow_deg,msho_x,msho_y,msho_z,melb_x,melb_y,melb_z,mwri_x,mwri_y,mwri_z
0,0.00,-0.01438,1.32125,-0.04422,-0.09206,1.05052,0.00054,-0.18663,0.85181,0.03589
1,0.00,-0.01438,1.32125,-0.04422,-0.09220,1.05063,0.00082,-0.18688,0.85203,0.03643
2,0.00,-0.01438,1.32125,-0.04422,-0.09233,1.05075,0.00111,-0.18713,0.85225,0.03697
3,0.00,-0.01438,1.32125,-0.04422,-0.09246,1.05087,0.00139,-0.18737,0.85247,0.03750
4,0.00,-0.01438,1.32125,-0.04422,-0.09259,1.05098,0.00167,-0.18761,0.85268,0.03802
5,0.00,-0.01438,1.32125,-0.04422,-0.09271,1.05109,0.00192,-0.18784,0.85288,0.03851
6,0.00,-0.01438,1.32125,-0.04422,-0.09282,1.05119,0.00217,-0.18805,0.85307,0.03896
7,0.00,-0.01438,1.32125,-0.04422,-0.09292,1.05129,0.00239,-0.18824,0.85325,0.03938
8,0.00,-0.01438,1.32125,-0.04422,-0.09301,1.05137,0.00259,-0.18842,0.85340,0.03976
9,0.00,-0.01438,1.32125,-0.04422,-0.09309,1.05145,0.00276,-0.18857,0.85354,0.04009
10,0.00,-0.01438,1.32125,-0.04422,-0.09316,1.05151,0.00292,-0.18870,0.85366,0.04037
11,0.00,-0.01438,1.32125,-0.04422,-0.09322,1.05156,0.00304,-0.18882,0.85376,0.04061
12,0.00,-0.01438,1.32125,-0.04422,-0.09327,1.05161,0.00315,-0.18891,0.85385,0.04081
13,0.00,-0.01438,1.32125,-0.04422,-0.09331,1.05164,0.00323,-0.18898,0.85391,0.04097
14,0.00,-0.01438,1.32125,-0.04422,-0.09334,1.05167,0.00330,-0.18903,0.85396,0.04109
15,0.00,-0.01438,1.32125,-0.04422,-0.09336,1.05169,0.00334,-0.18908,0.85400,0.04118
16,0.00,-0.01438,1.32125,-0.04422,-0.09338,1.05171,0.00338,-0.18910,0.85403,0.04124
17,0.00,-0.01438,1.32125,-0.04422,-0.09339,1.05172,0.00340,-0.18912,0.85404,0.04128
18,0.00,-0.01438,1.32125,-0.04422,-0.09339,1.05172,0.00341,-0.18914,0.85406,0.04131
19,0.00,-0.01438,1.32125,-0.04422,-0.09340,1.05172,0.00342,-0.18914,0.85406,0.04132
20,0.00,-0.01438,1.32125,-0.04422,-0.09340,1.05173,0.00342,-0.18915,0.85407,0.04133
21,0.00,-0.01438,1.32125,-0.04422,-0.09340,1.05173,0.00343,-0.18915,0.85407,0.04134
22,0.00,-0.01438,1.32125,-0.04422,-0.09340,1.05173,0.00343,-0.18915,0.85407,0.04134
23,0.00,-0.01438,1.32125,-0.04422,-0.09340,1.05173,0.00343,-0.18915,0.85407,0.04135
24,0.00,-0.01438,1.32125,-0.04422,-0.09340,1.05173,0.00344,-0.18916,0.85408,0.04135
25,0.00,-0.01438,1.32125,-0.04422,-0.09341,1.05173,0.00344,-0.18916,0.85408,0.04136
26,0.00,-0.01438,1.32125,-0.04422,-0.09341,1.05174,0.00345,-0.18917,0.85408,0.04137
27,0.00,-0.01438,1.32125,-0.04422,-0.09341,1.05174,0.00345,-0.18917,0.85409,0.04138
28,0.00,-0.01438,1.32125,-0.04422,-0.09341,1.05174,0.00345,-0.18917,0.85409,0.04139
29,0.00,-0.01438,1.32125,-0.04422,-0.09341,1.05174,0.00345,-0.18917,0.85409,0.04139
30,0.00,-0.01438,1.32125,-0.04422,-0.09341,1.05174,0.00345,-0.18917,0.85409,0.04138
31,0.00,-0.01438,1.32125,-0.04422,-0.09341,1.05173,0.00344,-0.18916,0.85408,0.04136
32,0.00,-0.01438,1.32125,-0.04422,-0.09340,1.05173,0.00343,-0.18915,0.85407,0.04134
33,0.00,-0.01438,1.32125,-0.04422,-0.09339,1.05172,0.00340,-0.18913,0.85405,0.04129
34,0.00,-0.01438,1.32125,-0.04422,-0.09338,1.05171,0.00337,-0.18910,0.85403,0.04124
35,0.00,-0.01438,1.32125,-0.04422,-0.09336,1.05169,0.00334,-0.18907,0.85400,0.04117
36,0.00,-0.01438,1.32125,-0.04422,-0.09334,1.05167,0.00330,-0.18904,0.85396,0.04109
37,0.00,-0.01438,1.32125,-0.04422,-0.09332,1.05165,0.00325,-0.18899,0.85393,0.04100
38,0.00,-0.01438,1.32125,-0.04422,-0.09329,1.05163,0.00320,-0.18895,0.85388,0.04090
39,0.00,-0.01438,1.32125,-0.04422,-0.09327,1.05161,0.00314,-0.18890,0.85384,0.04080
40,0.00,-0.01438,1.32125,-0.04422,-0.09324,1.05158,0.00309,-0.18885,0.85380,0.04069
41,0.00,-0.01438,1.32125,-0.04422,-0.09322,1.05156,0.00303,-0.18881,0.85376,0.04059
42,0.00,-0.01438,1.32125,-0.04422,-0.09320,1.05154,0.00299,-0.18876,0.85372,0.04051
